2
40 40 
1 33 29
2 6 15
3 1 6
4 21 11
5 29 11
6 2 16
7 17 11
8 17 22
9 7 23
10 26 23
11 28 16
12 16 23
13 1 29
14 27 29
15 6 18
16 6 19
17 34 7
18 29 34
19 31 8
20 27 11
21 18 31
22 22 30
23 1 2
24 13 19
25 21 5
26 30 33
27 24 7
28 24 26
29 35 29
30 9 10
31 28 35
32 28 3
33 32 33
34 34 1
35 17 18
36 16 9
37 24 33
38 15 31
39 30 24
40 15 4
41 15 7
42 5 2
43 19 10
44 17 17
45 13 35
46 13 35
47 28 17
48 15 24
49 12 6
50 14 6
51 29 31
52 7 35
53 21 7
54 24 4
55 26 12
56 22 35
57 30 31
58 28 7
59 14 15
60 34 29
61 19 2
62 23 18
63 29 25
64 9 9
65 7 6
66 21 26
67 15 9
68 6 5
69 11 13
70 31 10
71 33 24
72 8 13
73 19 13
74 4 30
75 33 1
76 12 28
77 34 7
78 28 5
79 16 15
80 7 2
81 26 4
82 23 28
83 22 20
84 19 13
85 31 23
86 29 11
87 27 6
88 34 30
89 6 29
90 31 12
91 7 16
92 19 20
93 21 24
94 23 27
95 4 17
96 7 29
97 16 7
98 10 24
99 26 33
100 16 4
