2 
150 150  
1 38 88 
2 78 36 
3 23 100 
4 77 33 
5 48 82 
6 54 69 
7 43 75 
8 63 57 
9 60 65 
10 25 93 
11 67 45 
12 89 38 
13 23 104 
14 68 51 
15 92 31 
16 77 39 
17 67 49 
18 64 56 
19 63 64 
20 52 70 
21 74 54 
22 33 77 
23 21 96 
24 25 90 
25 85 39 
26 67 57 
27 92 26 
28 22 103 
29 78 41 
30 60 56 
31 94 30 
32 67 60 
33 55 59 
34 37 87 
35 52 78 
36 61 66 
37 95 16 
38 90 29 
39 95 34 
40 96 16 
41 36 92 
42 45 85 
43 33 79 
44 47 72 
45 98 18 
46 33 80 
47 68 47 
48 24 97 
49 68 59 
50 64 51 
51 70 47 
52 52 69 
53 84 35 
54 40 71 
55 49 75 
56 57 67 
57 40 80 
58 90 20 
59 75 35 
60 50 65 
61 90 38 
62 65 60 
63 78 47 
64 100 23 
65 33 87 
66 44 80 
67 72 58 
68 91 38 
69 65 50 
70 84 37 
71 51 74 
72 29 100 
73 36 90 
74 60 57 
75 22 97 
76 89 25 
77 87 31 
78 49 62 
79 39 87 
80 40 82 
81 31 87 
82 98 30 
83 88 42 
84 88 34 
85 93 19 
86 83 47 
87 25 95 
88 43 68 
89 50 60 
90 83 40 
91 41 82 
92 96 23 
93 86 43 
94 89 31 
95 63 49 
96 83 28 
97 77 50 
98 64 65 
99 35 81 
100 39 77 
101 24 103 
102 93 31 
103 54 73 
104 43 77 
105 92 21 
106 39 77 
107 47 64 
108 82 44 
109 82 43 
110 66 48 
111 47 70 
112 24 95 
113 54 61 
114 87 25 
115 59 52 
116 20 93 
117 92 27 
118 76 44 
119 97 20 
120 81 32 
121 72 57 
122 68 46 
123 70 52 
124 56 57 
125 24 93 
126 94 19 
127 76 39 
128 53 69 
129 100 15 
130 74 42 
131 63 53 
132 73 51 
133 46 67 
134 80 30 
135 62 53 
136 73 45 
137 55 56 
138 99 17 
139 88 25 
140 44 76 
141 64 57 
