2 
150 150  
1 32 78 
2 53 76 
3 37 78 
4 98 26 
5 62 54 
6 44 79 
7 26 98 
8 69 49 
9 87 35 
10 57 68 
11 30 80 
12 98 30 
13 29 95 
14 51 59 
15 66 63 
16 50 60 
17 23 97 
18 46 77 
19 25 98 
20 60 65 
21 58 54 
22 94 18 
23 58 66 
24 45 82 
25 74 52 
26 80 30 
27 38 91 
28 67 57 
29 50 76 
30 36 83 
31 90 33 
32 77 35 
33 32 90 
34 81 44 
35 69 53 
36 79 37 
37 49 81 
38 58 68 
39 63 61 
40 42 68 
41 43 80 
42 54 59 
43 71 39 
44 22 104 
45 78 32 
46 35 86 
47 79 33 
48 58 59 
49 78 46 
50 79 43 
51 73 39 
52 88 30 
53 72 42 
54 21 89 
55 28 91 
56 46 82 
57 70 47 
58 44 70 
59 56 70 
60 26 101 
61 97 32 
62 86 32 
63 71 58 
64 83 41 
65 100 27 
66 26 91 
67 29 92 
68 84 33 
69 63 53 
70 20 110 
71 75 49 
72 42 82 
73 63 67 
74 28 98 
75 72 50 
76 84 42 
77 22 94 
78 63 50 
79 95 17 
80 31 96 
81 68 62 
82 50 69 
83 96 28 
84 48 64 
85 40 88 
86 51 65 
87 52 63 
88 47 80 
89 90 40 
90 61 62 
91 97 25 
92 50 70 
93 98 15 
94 30 100 
95 21 91 
96 32 87 
97 56 67 
98 39 74 
99 34 92 
100 20 101 
101 75 44 
102 45 78 
103 63 57 
104 71 48 
105 22 96 
106 99 28 
107 85 35 
108 87 38 
109 38 89 
110 73 46 
111 27 99 
112 95 25 
113 28 91 
114 77 35 
115 43 77 
116 65 56 
117 42 76 
118 82 39 
119 51 71 
120 35 94 
121 41 75 
122 31 89 
123 82 34 
124 21 98 
125 53 57 
126 88 29 
127 35 78 
128 95 21 
129 63 65 
130 79 38 
131 96 33 
132 95 23 
133 43 76 
134 87 41 
135 26 86 
136 85 35 
137 36 83 
138 63 66 
139 57 68 
140 79 33 
141 63 66 
142 51 70 
143 94 23 
144 99 27 
145 84 45 
146 56 56 
147 63 49 
148 71 58 
149 32 91 
150 33 79 
151 86 41 
152 58 62 
153 21 108 
154 97 25 
155 40 72 
156 53 71 
157 38 88 
158 45 73 
159 91 31 
160 72 52 
161 85 37 
162 48 82 
163 77 46 
164 92 18 
165 70 57 
166 92 19 
167 61 53 
168 21 103 
169 55 60 
170 51 69 
171 96 31 
172 34 93 
173 90 38 
174 23 89 
175 52 63 
176 78 32 
177 48 76 
178 94 29 
179 51 59 
180 36 92 
181 98 16 
182 92 31 
183 76 41 
184 21 106 
185 100 17 
186 33 93 
187 33 78 
188 87 26 
189 63 65 
190 98 24 
191 95 20 
192 91 21 
193 68 59 
194 84 26 
195 41 75 
196 34 91 
197 27 89 
198 31 96 
199 62 49 
200 69 57 
201 37 80 
202 64 51 
203 58 70 
204 91 27 
205 89 31 
206 90 26 
207 61 53 
208 96 32 
209 73 48 
210 66 52 
211 21 109 
212 85 27 
213 54 72 
214 79 32 
215 27 101 
216 99 17 
217 46 69 
218 66 57 
219 24 101 
220 41 69 
221 39 86 
222 55 62 
223 62 53 
224 92 31 
225 21 104 
226 75 55 
227 61 53 
228 23 97 
229 74 51 
230 23 91 
231 91 21 
232 33 77 
233 57 60 
234 57 66 
235 31 92 
236 94 20 
237 96 17 
238 93 23 
239 42 86 
240 78 50 
241 53 64 
242 87 40 
243 35 94 
244 93 18 
245 57 73 
246 28 92 
247 51 79 
248 47 68 
249 90 29 
250 45 84 
251 90 32 
252 75 53 
253 41 85 
254 71 52 
255 36 87 
256 53 67 
257 36 76 
258 53 68 
259 64 66 
260 62 53 
261 99 26 
262 68 56 
263 36 74 
264 36 83 
265 49 72 
266 94 17 
267 99 11 
268 69 56 
269 76 52 
270 96 32 
271 78 49 
272 96 17 
273 99 23 
274 32 89 
275 77 49 
276 49 74 
277 60 63 
278 90 22 
279 69 57 
280 68 42 
281 89 34 
282 42 86 
283 28 82 
284 91 20 
285 88 24 
286 72 52 
287 77 40 
288 59 56 
289 65 58 
290 45 71 
291 35 87 
292 58 58 
293 92 28 
294 54 57 
295 40 70 
296 97 24 
297 53 58 
298 48 80 
299 89 32 
300 55 72 
301 33 83 
302 90 23 
303 100 14 
304 43 73 
305 95 21 
306 77 53 
307 67 63 
308 91 35 
309 61 67 
310 98 13 
311 40 74 
312 30 96 
313 47 66 
314 70 60 
315 91 19 
316 24 103 
317 55 64 
318 82 46 
319 91 29 
320 69 43 
321 31 94 
322 43 76 
323 89 26 
324 89 31 
325 45 75 
326 57 72 
327 24 95 
328 71 39 
329 60 67 
330 83 42 
331 88 28 
332 70 52 
333 65 46 
334 32 96 
335 53 72 
336 37 91 
337 31 90 
338 96 33 
339 27 88 
340 69 47 
341 87 26 
342 55 62 
343 74 45 
344 94 27 
345 30 91 
346 43 85 
347 84 32 
348 61 63 
349 90 26 
350 36 82 
351 25 94 
352 22 108 
353 79 36 
354 46 84 
355 25 88 
356 95 17 
357 20 96 
358 55 56 
359 21 96 
360 64 47 
361 69 48 
362 88 31 
363 45 75 
364 72 49 
365 21 100 
366 37 87 
367 22 93 
368 95 27 
369 95 15 
370 52 70 
371 57 56 
372 85 25 
373 56 64 
374 88 32 
375 93 37 
376 22 92 
377 89 25 
378 90 38 
379 20 92 
380 42 72 
381 37 93 
382 43 71 
383 37 91 
384 39 75 
385 47 76 
386 34 78 
387 28 91 
388 30 92 
389 79 47 
390 100 17 
391 99 26 
392 30 92 
393 81 45 
394 69 52 
395 21 101 
396 89 31 
397 83 28 
398 85 44 
399 27 88 
400 51 79 
401 50 71 
402 31 97 
403 67 61 
404 64 62 
405 40 90 
406 70 40 
407 54 74 
408 73 55 
409 45 80 
410 82 38 
411 55 74 
412 32 89 
413 56 74 
414 99 15 
415 100 11 
416 99 15 
417 92 24 
418 46 76 
419 84 38 
420 46 80 
421 56 65 
422 29 99 
423 61 53 
424 63 63 
425 98 27 
426 53 63 
427 99 11 
428 54 69 
429 74 39 
430 88 26 
431 51 73 
432 20 99 
433 21 108 
434 24 97 
435 63 66 
436 41 82 
437 80 50 
438 49 64 
439 23 100 
440 51 64 
441 92 29 
442 40 76 
443 65 59 
444 96 34 
445 72 52 
446 95 27 
447 54 57 
448 63 59 
449 65 55 
450 56 54 
451 94 34 
452 58 58 
453 65 45 
454 43 67 
455 54 59 
456 85 28 
457 75 42 
458 99 11 
459 44 73 
460 24 100 
461 75 39 
462 47 83 
463 33 96 
464 50 79 
465 49 67 
466 61 63 
467 55 74 
468 89 21 
469 36 93 
470 77 50 
471 23 94 
472 61 50 
473 83 30 
474 33 93 
475 56 74 
476 48 82 
477 50 65 
478 37 78 
479 94 29 
480 97 21 
481 69 43 
482 43 82 
483 54 64 
484 93 36 
485 81 43 
486 43 69 
487 67 56 
488 84 40 
489 91 27 
490 65 48 
491 68 50 
492 87 28 
493 44 83 
494 44 73 
495 20 104 
496 90 30 
497 72 46 
498 70 57 
499 89 33 
500 41 86 
501 40 73 
502 66 57 
503 77 44 
504 24 89 
505 44 85 
506 26 87 
507 68 50 
508 46 75 
509 81 47 
510 99 15 
511 89 26 
512 59 56 
513 34 78 
514 69 48 
515 61 64 
516 20 92 
517 61 56 
518 95 29 
519 100 11 
520 23 96 
521 80 30 
522 20 109 
523 93 37 
524 20 96 
525 55 75 
526 89 26 
527 28 92 
528 40 72 
529 84 27 
530 33 97 
531 71 49 
532 49 68 
533 53 65 
534 40 83 
535 71 52 
536 88 30 
537 50 76 
538 93 26 
539 24 97 
540 83 29 
541 38 87 
542 27 98 
543 95 15 
544 63 49 
545 88 35 
546 94 21 
547 95 32 
548 38 79 
549 88 23 
550 66 63 
551 66 52 
552 26 93 
553 65 50 
554 77 41 
555 47 76 
556 76 34 
557 99 11 
558 40 76 
559 60 54 
560 49 78 
561 72 51 
562 80 39 
563 61 57 
564 53 64 
565 56 59 
566 97 29 
567 59 57 
568 65 45 
569 66 53 
570 96 29 
571 79 43 
572 72 54 
573 90 23 
574 52 62 
575 77 40 
576 21 105 
