2
1000 1000 
1 998 645
2 823 492
3 478 846
4 122 734
5 239 64
6 85 981
7 397 124
8 144 30
9 22 78
10 645 151
11 615 72
12 328 494
13 146 755
14 728 898
15 928 947
16 936 891
17 100 499
18 981 460
19 16 91
20 839 354
21 704 690
22 987 91
23 869 318
24 492 379
25 453 927
26 790 204
27 257 358
28 479 918
29 86 269
30 747 893
31 399 50
32 91 486
33 733 525
34 37 195
35 245 365
36 861 318
37 164 399
38 205 143
39 163 891
40 608 28
41 654 878
42 959 759
43 387 460
44 7 240
45 342 604
46 179 353
47 44 201
48 301 637
49 82 671
50 930 485
51 107 562
52 823 919
53 903 502
54 371 580
55 720 710
56 648 241
57 237 675
58 240 967
59 936 355
60 288 607
61 72 763
62 896 283
63 473 601
64 459 144
65 381 114
66 519 780
67 35 855
68 998 956
69 431 234
70 127 49
71 721 705
72 157 205
73 481 375
74 755 596
75 775 368
76 595 64
77 611 4
78 643 686
79 75 509
80 937 384
81 141 13
82 298 68
83 444 644
84 76 226
85 456 701
86 354 55
87 935 605
88 987 362
89 918 239
90 95 199
91 731 700
92 676 574
93 228 124
94 426 157
95 556 145
96 947 895
97 592 806
98 795 103
99 783 284
100 286 597
101 501 75
102 316 216
103 390 809
104 766 368
105 494 521
106 706 157
107 927 165
108 389 1000
109 572 504
110 412 968
111 782 78
112 86 654
113 745 255
114 625 2
115 135 35
116 343 718
117 576 598
118 955 751
119 471 653
120 299 485
121 162 767
122 445 365
123 132 403
124 422 877
125 616 407
126 226 721
127 642 527
128 30 687
129 615 335
130 962 162
131 549 211
132 833 1
133 964 340
134 269 442
135 549 882
136 308 95
137 255 994
138 17 117
139 852 617
140 889 610
141 486 846
142 729 531
143 163 655
144 941 602
145 164 597
146 643 476
147 161 485
148 669 179
149 336 811
150 787 31
151 654 481
152 249 268
153 567 777
154 909 792
155 685 560
156 678 713
157 984 709
158 927 376
159 798 789
160 100 789
161 193 541
162 521 881
163 639 104
164 295 381
165 8 806
166 599 399
167 605 866
168 777 238
169 786 232
170 582 332
171 514 889
172 482 531
173 675 570
174 24 364
175 573 305
176 988 396
177 47 192
178 356 564
179 831 72
180 248 207
181 129 290
182 132 617
183 623 70
184 98 746
185 211 981
186 646 482
187 286 238
188 879 920
189 272 314
190 295 102
191 472 720
192 454 735
193 579 945
194 553 394
195 48 414
196 862 310
197 288 970
198 184 845
199 51 877
200 88 862
