2
1000 1000 
1 92 71
2 46 41
3 40 31
4 73 79
5 38 29
6 66 98
7 29 45
8 66 72
9 48 50
10 84 92
11 88 95
12 96 32
13 35 61
14 92 44
15 41 37
16 39 84
17 45 78
18 72 73
19 78 93
20 100 40
21 51 45
22 61 25
23 68 86
24 25 88
25 35 41
26 67 31
27 99 69
28 90 30
29 32 38
30 83 81
31 27 74
32 38 49
33 32 61
34 33 27
35 72 30
36 100 40
37 25 89
38 61 71
39 78 68
40 95 60
41 50 53
42 52 99
43 31 75
44 77 90
45 86 49
46 71 85
47 98 67
48 58 91
49 62 64
50 48 93
51 47 68
52 76 76
53 46 48
54 63 67
55 45 27
56 29 27
57 39 63
58 28 73
59 64 42
60 84 85
61 77 38
62 99 68
63 72 90
64 99 68
65 43 37
66 41 27
67 74 26
68 28 66
69 32 57
70 55 78
71 61 45
72 42 73
73 55 48
74 26 86
75 71 89
76 92 70
77 84 69
78 50 55
79 91 85
80 44 87
81 54 79
82 42 85
83 84 51
84 49 44
85 84 57
86 44 59
87 78 63
88 71 51
89 62 95
90 99 83
91 34 39
92 78 59
93 31 84
94 71 84
95 68 67
96 52 86
97 42 97
98 84 43
99 76 36
100 33 91
