2
1000 1000 
1 126 183
2 91 88
3 136 124
4 66 195
5 64 58
6 138 197
7 81 147
8 111 118
9 79 126
10 132 161
11 85 65
12 56 134
13 133 147
14 159 84
15 162 181
16 50 122
17 151 182
18 54 145
19 112 63
20 190 57
21 129 112
22 199 80
23 52 195
24 64 68
25 186 110
26 162 114
27 180 159
28 154 63
29 117 199
30 87 119
31 189 154
32 199 87
33 184 115
34 69 94
35 100 150
36 59 98
37 92 81
38 98 54
39 90 94
40 153 123
41 65 148
42 180 93
43 148 169
44 68 161
45 120 172
46 101 137
47 167 81
48 150 69
49 91 174
50 154 164
51 182 65
52 185 88
53 195 147
54 134 124
55 200 116
56 196 154
57 73 121
58 96 167
59 79 140
60 179 52
61 153 121
62 139 134
63 129 136
64 85 148
65 63 120
66 194 66
67 147 83
68 145 169
69 74 50
70 58 135
71 181 118
72 137 79
73 71 89
74 190 156
75 125 52
76 60 189
77 75 165
78 194 91
79 144 151
80 62 111
81 134 103
82 95 54
83 60 128
84 192 191
85 59 185
86 111 62
87 196 127
88 55 123
89 100 115
90 187 146
91 170 90
92 152 151
93 52 129
94 144 59
95 180 195
96 190 72
97 125 199
98 101 132
99 170 151
100 182 180
101 69 158
102 126 166
103 174 156
104 192 64
105 120 114
106 72 172
107 68 195
108 71 186
109 187 112
110 80 77
111 102 120
112 113 70
113 197 183
114 185 72
115 132 126
116 90 169
117 187 139
118 124 181
119 50 182
120 185 178
121 58 91
122 183 71
123 91 119
124 68 165
125 148 145
126 125 113
127 88 152
128 153 135
129 51 153
130 178 90
131 68 172
132 134 167
133 51 135
134 148 51
135 165 189
136 129 192
137 151 159
138 54 121
139 169 61
140 72 54
141 104 172
142 104 174
143 80 184
144 100 130
145 51 86
146 110 71
147 143 150
148 79 191
149 88 151
150 144 135
151 198 89
152 193 141
153 167 96
154 59 55
155 94 165
156 145 77
157 55 184
158 85 112
159 200 164
160 95 99
161 140 183
162 83 145
163 160 119
164 181 139
165 98 116
166 90 149
167 194 132
168 141 159
169 53 128
170 88 188
171 106 76
172 196 111
173 193 152
174 82 80
175 154 146
176 68 189
177 188 193
178 64 177
179 177 103
180 159 57
181 82 175
182 159 142
183 136 63
184 128 125
185 187 141
186 115 155
187 139 130
188 157 159
189 86 153
190 84 178
191 114 193
192 58 180
193 66 159
194 163 118
195 175 188
196 181 145
197 91 99
198 56 70
199 63 154
200 177 83
201 165 120
202 200 154
203 60 190
204 156 198
205 50 117
206 149 96
207 183 110
208 146 64
209 87 133
210 87 66
211 59 72
212 190 154
213 61 109
214 99 114
215 84 78
216 176 164
217 52 182
218 165 55
219 58 71
220 194 178
221 155 117
222 143 165
223 194 142
224 155 190
225 97 52
226 127 200
227 113 110
228 125 132
229 146 145
230 151 138
231 87 170
232 180 52
233 122 181
234 200 139
235 100 119
236 112 111
237 175 51
238 136 171
239 124 156
240 131 90
241 68 138
242 192 115
243 50 88
244 130 74
245 180 89
246 59 59
247 187 176
248 193 121
249 159 89
250 83 149
251 168 91
252 84 182
253 66 169
254 84 129
255 177 115
256 86 160
257 135 188
258 112 117
259 110 198
260 153 60
261 71 89
262 119 167
263 176 52
264 150 56
265 171 121
266 155 161
267 70 145
268 55 119
269 122 116
270 82 145
271 146 187
272 200 128
273 166 94
274 87 186
275 67 184
276 83 93
277 152 132
278 121 88
279 66 120
280 145 88
281 195 74
282 156 146
283 155 183
284 116 55
285 181 94
286 135 129
287 144 89
288 188 100
289 83 189
290 68 127
291 157 106
292 80 114
293 100 135
294 100 190
295 50 117
296 133 140
297 104 59
298 88 129
299 122 199
300 56 183
301 60 124
302 147 56
303 178 97
304 96 179
305 90 158
306 190 58
307 134 110
308 173 83
309 152 184
310 65 83
311 59 72
312 50 173
313 67 192
314 60 187
315 114 141
316 122 92
317 110 81
318 168 68
319 198 193
320 172 51
321 182 179
322 59 119
323 124 90
324 174 171
325 63 175
326 132 83
327 176 110
328 103 89
329 156 173
330 52 58
331 80 133
332 133 94
333 75 78
334 91 153
335 196 171
336 79 92
337 81 53
338 130 122
339 64 183
340 82 183
341 102 177
342 170 135
343 96 111
344 74 129
345 83 83
346 55 133
347 127 182
348 170 101
349 68 123
350 145 80
351 175 160
352 106 65
353 183 148
354 127 128
355 62 96
356 51 122
357 152 176
358 88 104
359 189 162
360 59 83
361 69 154
362 176 79
363 115 176
364 179 131
365 66 200
366 164 109
367 191 159
368 107 85
369 135 154
370 90 171
371 113 184
372 174 189
373 126 88
374 173 179
375 52 57
376 91 67
377 60 134
378 67 139
379 129 96
380 148 171
381 161 159
382 190 167
383 173 90
384 189 113
385 101 85
386 126 62
387 166 192
388 125 58
389 63 92
390 139 128
391 87 58
392 101 92
393 176 68
394 92 192
395 200 62
396 114 117
397 140 199
398 97 158
399 198 129
400 86 93
