2 
150 150  
1 28 24 
2 60 59 
3 46 45 
4 48 48 
5 56 52 
6 85 94 
7 40 50 
8 58 55 
9 52 57 
10 57 47 
11 40 33 
12 40 48 
13 72 67 
14 89 80 
15 62 65 
16 46 39 
17 26 36 
18 49 48 
19 52 48 
20 74 65 
21 75 80 
22 21 12 
23 34 34 
24 48 55 
25 39 32 
26 65 64 
27 31 35 
28 74 83 
29 76 73 
30 48 53 
31 29 38 
32 72 82 
33 83 78 
34 50 42 
35 21 29 
36 89 92 
37 32 22 
38 30 31 
39 37 40 
40 34 34 
41 82 76 
42 100 104 
43 48 55 
44 36 28 
45 66 60 
46 93 87 
47 63 65 
48 73 65 
49 77 76 
50 86 96 
51 77 68 
52 69 60 
53 93 92 
54 22 14 
55 57 53 
56 75 72 
57 25 29 
58 97 90 
59 51 41 
60 78 71 
61 73 77 
62 50 56 
63 21 30 
64 88 88 
65 82 90 
66 27 25 
67 75 85 
68 36 35 
69 82 85 
70 65 71 
71 77 81 
72 53 46 
73 99 106 
74 22 31 
75 41 51 
76 57 62 
77 40 50 
78 49 50 
79 41 46 
80 87 85 
81 97 102 
82 53 51 
83 65 73 
84 89 83 
85 63 68 
86 49 41 
87 97 107 
88 95 87 
89 84 82 
90 23 28 
91 37 37 
92 23 33 
93 73 77 
94 40 36 
95 36 28 
96 82 77 
97 81 73 
98 88 91 
99 38 31 
100 71 70 
101 37 46 
102 33 29 
103 60 65 
104 69 64 
105 77 75 
106 50 47 
107 35 25 
108 32 26 
109 81 78 
110 53 57 
111 53 59 
112 91 95 
113 94 97 
114 90 99 
115 43 49 
116 28 33 
117 91 95 
118 92 82 
119 86 80 
120 21 14 
121 74 70 
122 35 45 
123 53 52 
124 99 100 
125 64 54 
126 88 88 
127 52 55 
128 91 91 
129 96 101 
130 62 69 
131 76 68 
132 90 92 
133 81 83 
134 27 22 
135 100 108 
136 84 76 
137 63 55 
138 98 102 
139 23 22 
140 40 45 
141 97 101 
142 23 25 
143 88 95 
144 89 83 
145 80 88 
146 33 43 
147 85 95 
148 92 84 
149 52 60 
150 88 88 
151 46 44 
152 86 94 
153 40 43 
154 76 84 
155 93 91 
156 28 35 
157 43 39 
158 48 52 
159 26 30 
160 61 67 
161 52 43 
162 39 48 
163 69 64 
164 94 94 
165 65 61 
166 59 62 
167 92 84 
168 97 93 
169 70 80 
170 61 61 
171 96 105 
172 91 87 
173 91 85 
174 88 88 
175 64 63 
176 56 64 
177 20 10 
178 81 87 
179 87 87 
180 28 25 
181 24 32 
182 20 17 
183 36 36 
184 50 56 
185 91 86 
186 56 55 
187 81 81 
188 70 73 
189 90 96 
190 88 79 
191 69 71 
192 38 32 
193 83 78 
194 58 58 
195 22 12 
196 48 49 
197 84 75 
198 26 30 
199 78 81 
200 26 32 
201 66 65 
202 29 30 
203 27 36 
204 38 45 
205 93 87 
206 95 96 
207 61 57 
208 36 32 
209 64 64 
210 37 35 
211 41 49 
212 83 83 
213 88 95 
214 59 50 
215 49 54 
216 71 80 
217 33 34 
218 41 46 
219 73 63 
220 40 31 
221 81 81 
222 100 108 
223 80 83 
224 37 38 
225 51 58 
226 82 72 
227 60 64 
228 50 60 
229 61 68 
230 50 45 
231 52 62 
232 51 50 
233 71 63 
234 85 86 
235 39 38 
236 97 99 
237 22 25 
238 46 36 
239 54 52 
240 27 22 
241 27 25 
242 31 40 
243 34 41 
244 65 69 
245 36 30 
246 69 60 
247 65 62 
248 79 75 
249 89 84 
250 61 61 
251 80 80 
252 62 68 
253 63 54 
254 32 27 
255 22 22 
256 34 37 
257 49 58 
258 50 51 
259 35 41 
260 52 54 
261 29 20 
262 57 51 
263 32 23 
264 26 22 
265 76 71 
266 100 101 
267 34 26 
268 58 66 
269 34 28 
270 41 44 
271 78 70 
272 75 68 
273 68 75 
274 36 30 
275 60 59 
276 57 54 
277 97 89 
278 57 64 
279 40 39 
280 28 19 
281 31 32 
282 87 90 
283 79 76 
284 69 75 
285 39 33 
286 30 30 
287 99 92 
288 96 87 
289 29 34 
290 63 71 
291 55 48 
292 70 75 
293 57 51 
294 55 46 
295 75 69 
296 84 90 
297 55 50 
298 91 95 
299 94 87 
300 48 45 
301 45 38 
302 78 74 
303 68 65 
304 66 61 
305 40 41 
306 70 80 
307 31 38 
308 72 72 
309 67 61 
310 57 63 
311 56 66 
312 42 35 
313 46 52 
314 37 31 
315 78 74 
316 94 94 
317 47 46 
318 42 38 
319 81 89 
320 94 94 
321 52 49 
322 30 21 
323 75 70 
324 92 94 
325 86 90 
326 70 65 
327 93 87 
328 35 45 
329 66 67 
330 49 50 
331 74 66 
332 88 79 
333 85 92 
334 84 89 
335 98 98 
336 31 35 
337 82 75 
338 42 42 
339 30 22 
340 53 53 
341 21 12 
342 52 46 
343 80 73 
344 26 30 
345 23 29 
346 65 55 
347 75 72 
348 54 56 
349 32 25 
350 95 91 
351 24 27 
352 61 70 
353 81 73 
354 39 46 
355 78 85 
356 36 27 
357 41 31 
358 47 37 
359 85 90 
360 85 81 
361 23 24 
362 94 91 
363 97 90 
364 86 87 
365 28 36 
366 91 99 
367 67 65 
368 82 77 
369 45 48 
370 93 99 
371 85 83 
372 86 80 
373 21 15 
374 22 21 
375 63 62 
376 22 24 
377 31 35 
378 77 70 
379 49 46 
380 25 33 
381 60 69 
382 85 76 
383 57 67 
384 67 68 
385 72 69 
386 92 100 
387 80 71 
388 48 42 
389 32 35 
390 24 23 
391 51 42 
392 86 83 
393 39 34 
394 61 61 
395 70 64 
396 85 77 
397 50 57 
398 74 84 
399 82 92 
400 71 74 
