2
1000 1000 
1 71 85
2 41 63
3 31 78
4 79 25
5 29 78
6 98 96
7 45 54
8 72 59
9 50 39
10 92 54
11 95 91
12 32 49
13 61 30
14 44 49
15 37 25
16 84 39
17 78 38
18 73 57
19 93 46
20 40 50
21 45 60
22 25 64
23 86 77
24 88 64
25 41 88
26 31 71
27 69 50
28 30 81
29 38 76
30 81 59
31 74 33
32 49 95
33 61 78
34 27 54
35 30 79
36 40 43
37 89 71
38 71 64
39 68 45
40 60 35
41 53 61
42 99 49
43 75 29
44 90 38
45 49 58
46 85 33
47 67 83
48 91 71
49 64 97
50 93 48
51 68 57
52 76 60
53 48 75
54 67 58
55 27 98
56 27 68
57 63 43
58 73 46
59 42 26
60 85 87
61 38 44
62 68 52
63 90 86
64 68 43
65 37 69
66 27 30
67 26 72
68 66 61
69 57 79
70 78 47
71 45 90
72 73 71
73 48 73
74 86 41
75 89 41
76 70 94
77 69 91
78 55 59
79 85 83
80 87 54
81 79 81
82 85 56
83 51 46
84 44 44
85 57 90
86 59 25
87 63 95
88 51 40
89 95 90
90 83 91
91 39 60
92 59 34
93 84 86
94 84 33
95 67 78
96 86 30
97 97 88
98 43 79
99 36 28
100 91 57
