2 
150 150  
1 51 63 
2 54 58 
3 100 27 
4 23 96 
5 64 56 
6 37 86 
7 39 89 
8 86 25 
9 21 98 
10 26 86 
11 36 80 
12 20 95 
13 58 61 
14 69 47 
15 67 54 
16 21 104 
17 78 39 
18 20 100 
19 64 60 
20 31 81 
21 47 73 
22 79 44 
23 75 42 
24 88 35 
25 84 42 
26 33 85 
27 65 49 
28 45 76 
29 21 103 
30 55 56 
31 92 35 
32 93 17 
33 21 90 
34 34 94 
35 76 52 
36 41 86 
37 95 23 
38 96 30 
39 33 95 
40 27 99 
41 28 94 
42 20 107 
43 25 88 
44 85 32 
45 43 74 
46 87 37 
47 99 31 
48 25 89 
49 82 47 
50 30 93 
51 52 74 
52 45 75 
53 50 62 
54 98 20 
55 33 91 
56 67 60 
57 37 86 
58 28 90 
59 51 74 
60 34 76 
61 56 58 
62 90 37 
63 43 78 
64 36 74 
65 34 83 
66 80 45 
67 64 56 
68 23 104 
69 70 60 
70 99 24 
71 83 35 
72 29 94 
73 40 71 
74 30 98 
75 39 82 
76 46 71 
77 82 40 
78 85 44 
79 51 68 
80 98 22 
81 68 56 
82 56 59 
83 37 75 
84 23 98 
85 72 58 
86 97 17 
87 72 50 
88 82 29 
89 54 69 
90 30 98 
91 47 78 
92 88 41 
93 90 26 
94 90 27 
95 23 91 
96 50 75 
97 86 27 
98 48 65 
99 99 14 
100 25 103 
101 24 100 
102 52 61 
103 66 56 
104 47 66 
105 85 39 
106 20 100 
107 44 69 
108 41 77 
109 93 29 
110 87 38 
111 77 36 
112 81 31 
113 96 33 
114 90 36 
115 60 69 
116 75 36 
117 27 91 
118 26 86 
119 66 53 
120 93 32 
121 72 57 
122 99 23 
123 93 22 
124 70 53 
125 69 58 
126 25 102 
127 76 44 
128 86 43 
129 96 15 
130 100 28 
131 21 105 
132 77 52 
133 44 73 
134 93 37 
135 90 38 
136 84 31 
137 96 16 
138 89 22 
139 66 60 
140 43 80 
141 78 38 
142 91 35 
143 27 92 
144 100 20 
145 97 14 
146 36 87 
147 87 30 
148 38 72 
149 20 103 
150 36 76 
151 90 29 
152 87 37 
153 53 57 
154 99 26 
155 49 65 
156 24 98 
157 72 41 
158 95 22 
159 97 32 
160 67 46 
161 21 101 
162 73 54 
163 70 60 
164 70 46 
165 30 82 
166 59 60 
167 29 101 
168 28 83 
169 91 32 
170 61 54 
171 93 32 
172 56 56 
173 28 83 
174 78 41 
175 53 63 
176 42 81 
177 79 46 
178 29 87 
179 62 62 
180 94 18 
181 88 31 
182 53 73 
183 89 32 
184 37 86 
185 66 62 
186 100 13 
187 68 51 
188 66 54 
189 23 95 
190 85 39 
