2
1000 1000 
1 55 179
2 105 122
3 122 128
4 95 186
5 107 92
6 71 153
7 197 194
8 109 113
9 166 51
10 163 111
11 77 129
12 191 145
13 61 66
14 81 161
15 63 127
16 104 102
17 54 72
18 77 79
19 167 59
20 79 192
21 158 148
22 66 162
23 180 190
24 125 156
25 65 92
26 156 112
27 174 70
28 104 106
29 57 153
30 87 77
31 157 193
32 82 108
33 186 196
34 89 79
35 155 191
36 103 184
37 124 189
38 112 55
39 177 109
40 170 79
41 68 185
42 91 192
43 159 108
44 146 145
45 64 112
46 63 101
47 158 138
48 129 68
49 80 105
50 122 148
51 86 108
52 189 87
53 103 105
54 148 199
55 124 177
56 131 98
57 98 112
58 81 114
59 196 103
60 53 123
61 119 142
62 53 94
63 115 197
64 167 146
65 72 162
66 118 166
67 161 55
68 77 160
69 124 138
70 150 184
71 100 150
72 153 55
73 185 124
74 198 163
75 103 96
76 79 121
77 166 119
78 55 79
79 192 102
80 74 75
81 181 188
82 52 140
83 183 67
84 101 161
85 110 53
86 180 142
87 136 167
88 150 101
89 118 178
90 67 154
91 110 162
92 155 197
93 77 110
94 113 175
95 121 178
96 57 91
97 80 76
98 181 116
99 161 160
100 138 135
