2 
150 150  
1 37 27 
2 74 75 
3 47 56 
4 49 49 
5 29 37 
6 32 37 
7 29 20 
8 91 92 
9 99 90 
10 26 18 
11 86 76 
12 35 42 
13 67 67 
14 39 38 
15 51 47 
16 35 35 
17 50 54 
18 65 65 
19 83 74 
20 100 102 
21 38 34 
22 59 63 
23 47 54 
24 92 91 
25 53 46 
26 78 75 
27 46 53 
28 50 43 
29 44 36 
30 100 109 
31 55 47 
32 24 18 
33 89 92 
34 28 28 
35 50 53 
36 43 43 
37 37 39 
38 75 78 
39 37 47 
40 79 89 
41 47 39 
42 71 63 
43 83 80 
44 24 29 
45 37 33 
46 72 72 
47 73 76 
48 29 22 
49 74 65 
50 22 20 
51 27 29 
52 21 22 
53 51 44 
54 91 88 
55 37 37 
56 50 56 
57 55 52 
58 41 49 
59 31 39 
60 20 20 
61 25 33 
62 64 62 
63 85 91 
64 60 64 
65 56 64 
66 71 77 
67 41 36 
68 79 85 
69 76 67 
70 56 63 
71 95 98 
72 26 21 
73 73 69 
74 60 59 
75 53 46 
76 60 65 
77 83 81 
78 100 105 
79 23 19 
80 82 83 
81 99 108 
82 87 81 
83 28 36 
84 79 79 
85 28 20 
86 92 95 
87 45 39 
88 89 79 
89 70 64 
90 54 63 
91 28 23 
92 85 75 
93 49 42 
94 70 72 
95 32 42 
96 33 42 
97 41 37 
98 74 66 
99 54 64 
100 47 40 
101 23 21 
102 63 64 
103 41 43 
104 68 66 
105 69 59 
106 84 90 
107 81 72 
108 84 81 
109 78 79 
110 79 88 
111 26 30 
112 97 107 
113 70 66 
114 65 59 
115 37 33 
116 31 36 
117 21 25 
118 75 76 
119 23 21 
120 25 34 
121 26 17 
122 67 71 
123 82 91 
124 88 84 
125 75 81 
126 79 89 
127 46 46 
128 24 27 
129 47 53 
130 52 46 
131 27 31 
132 91 90 
133 69 79 
134 80 80 
135 51 57 
136 51 58 
137 46 56 
138 53 58 
139 65 60 
140 72 64 
141 26 26 
142 72 72 
143 59 60 
144 49 49 
145 56 56 
146 83 77 
147 82 81 
148 39 42 
149 58 54 
150 94 100 
151 38 36 
152 21 28 
153 88 89 
154 38 37 
155 40 30 
156 94 90 
157 74 72 
158 33 26 
159 79 86 
160 49 39 
161 80 89 
162 100 100 
163 54 57 
164 43 47 
165 23 13 
166 57 60 
