6 
1000 1000 1000 1000 1000 1000 
1 31 72 68 84 27 80 
2 48 25 53 96 84 39 
3 61 60 40 94 80 58 
4 40 88 52 52 26 88 
5 97 36 61 25 54 25 
6 68 60 79 64 45 72 
7 55 85 86 98 96 98 
8 86 50 75 68 49 30 
9 91 48 45 59 70 27 
10 67 42 76 78 78 81 
11 38 30 73 60 89 97 
12 53 64 83 73 67 93 
13 39 86 77 33 60 27 
14 98 28 63 81 62 75 
15 97 30 87 84 98 58 
16 50 61 50 69 26 79 
17 76 25 84 34 55 68 
18 44 84 73 41 41 87 
19 90 79 41 59 42 100 
20 57 31 60 84 34 80 
21 63 99 97 41 31 82 
22 43 99 68 45 50 96 
23 47 58 57 57 57 32 
24 88 79 48 52 86 79 
25 52 80 26 90 78 82 
26 82 96 55 82 95 81 
27 100 94 38 58 96 92 
28 35 40 73 93 44 98 
29 48 31 92 91 41 28 
30 89 95 54 46 82 35 
31 48 63 45 73 30 43 
32 63 59 91 25 30 60 
33 86 51 75 64 62 85 
34 89 70 44 75 98 94 
35 76 48 37 52 61 31 
36 97 43 86 47 48 30 
37 54 90 26 88 96 66 
38 73 34 65 69 91 100 
39 32 25 52 47 80 63 
40 75 53 28 31 30 45 
41 51 96 33 84 75 87 
42 83 100 64 44 77 99 
43 35 65 93 34 97 42 
44 97 57 36 99 25 50 
45 69 57 68 52 82 40 
46 93 97 66 31 65 95 
47 68 55 64 34 84 61 
48 54 67 51 75 74 76 
49 91 88 84 82 57 57 
50 89 41 52 33 72 54 
51 84 76 92 88 35 47 
52 79 94 60 58 51 25 
53 97 74 98 72 69 90 
54 41 53 84 72 48 96 
55 84 73 62 54 61 91 
56 44 92 59 96 89 81 
57 84 34 62 96 92 90 
58 27 55 77 43 58 66 
59 87 85 58 35 60 25 
60 35 77 38 89 77 38 
61 72 43 68 73 90 37 
62 32 36 54 96 92 89 
63 31 31 63 80 89 28 
64 91 30 72 84 43 84 
65 43 83 55 69 52 37 
66 81 64 73 72 48 61 
67 44 85 92 89 57 42 
68 91 48 81 58 25 69 
69 34 92 97 48 29 55 
70 56 85 34 79 59 63 
71 38 44 60 96 72 61 
72 39 67 30 32 59 37 
73 97 44 98 57 42 56 
74 75 87 60 42 31 99 
75 98 57 61 77 82 84 
76 35 58 29 50 100 32 
77 83 25 36 63 37 49 
78 59 89 32 50 78 100 
79 41 44 74 81 78 32 
80 89 74 69 78 38 87 
81 30 35 96 92 93 38 
82 37 37 49 98 31 67 
83 59 42 41 52 96 97 
84 94 45 97 83 31 28 
85 58 100 38 89 61 77 
86 83 85 25 46 89 83 
87 84 62 87 39 59 52 
88 44 70 25 27 34 70 
89 56 90 95 34 31 88 
90 27 28 72 48 49 92 
91 43 84 56 68 67 47 
92 86 37 30 32 100 55 
