6 
1000 1000 1000 1000 1000 1000 
1 42 55 99 73 93 52 
2 68 90 55 55 32 70 
3 49 80 54 84 30 59 
4 92 36 86 46 74 96 
5 30 29 47 72 97 75 
6 99 100 43 36 62 89 
7 63 59 26 38 57 36 
8 100 83 80 71 29 82 
9 73 33 84 63 38 83 
10 96 76 48 59 62 98 
11 36 83 40 58 64 39 
12 83 100 37 64 36 38 
13 29 91 78 59 35 73 
14 40 50 76 85 36 96 
15 27 91 75 93 71 49 
16 59 61 78 51 80 71 
17 41 80 84 36 39 34 
18 52 100 57 85 85 51 
19 60 73 50 65 76 56 
20 95 47 74 73 71 81 
21 68 69 68 56 39 33 
22 66 89 56 61 28 43 
23 35 92 63 28 86 36 
24 51 84 66 78 90 28 
25 26 80 33 81 84 79 
26 94 86 41 25 46 39 
27 82 43 35 66 81 69 
28 47 53 46 51 27 100 
29 84 46 56 82 65 40 
30 29 85 67 76 80 34 
31 46 54 97 26 39 80 
32 27 96 25 61 82 84 
33 92 72 61 75 44 51 
34 55 50 59 35 86 85 
35 25 52 47 36 47 81 
36 57 63 65 83 74 47 
37 49 68 26 46 29 100 
38 78 37 86 90 97 44 
39 52 27 61 71 84 99 
40 30 78 44 60 99 90 
41 98 87 58 84 38 91 
42 90 31 65 73 85 52 
43 91 53 46 48 55 38 
44 63 91 64 46 94 97 
45 82 87 53 59 44 67 
46 99 25 34 87 38 100 
47 98 97 46 79 98 93 
48 43 73 57 57 44 27 
49 35 68 56 53 32 83 
50 78 34 99 63 77 48 
51 82 71 42 27 30 98 
52 39 49 72 74 74 34 
53 60 92 95 68 64 53 
54 30 92 27 68 88 45 
55 93 63 45 99 37 83 
56 86 94 42 41 66 61 
57 59 53 73 93 98 28 
58 34 77 32 30 50 77 
59 54 39 100 97 89 34 
60 47 56 88 87 45 32 
61 59 74 68 48 78 57 
62 99 54 63 89 93 52 
63 51 34 32 38 58 25 
64 70 35 55 75 94 70 
65 98 89 36 68 78 34 
66 29 58 87 34 36 51 
67 84 69 28 30 74 47 
68 50 94 63 37 32 99 
69 28 41 94 76 88 40 
70 63 39 46 98 76 67 
71 28 47 30 73 85 49 
72 99 28 64 50 88 94 
73 64 74 49 71 37 43 
74 84 42 53 93 94 84 
75 74 91 71 34 82 99 
76 30 38 63 52 99 91 
77 48 28 92 77 26 58 
78 80 74 54 28 89 90 
79 100 29 99 85 97 67 
80 42 47 50 87 89 28 
81 45 57 25 92 80 97 
82 47 82 52 39 53 42 
83 77 53 55 26 42 69 
84 49 43 66 37 36 91 
85 74 76 50 60 58 31 
86 96 62 38 64 100 27 
87 74 97 56 59 98 75 
88 37 100 82 54 48 98 
89 70 81 83 36 90 33 
90 44 45 50 40 41 76 
91 99 40 26 61 88 69 
92 59 89 62 72 96 54 
93 74 42 36 77 69 89 
94 29 64 67 54 90 46 
95 36 80 82 83 45 95 
96 72 41 70 62 97 74 
97 30 43 32 72 26 51 
98 85 63 97 39 98 85 
99 60 86 57 38 89 54 
100 68 84 99 26 68 56 
101 66 96 61 66 82 34 
102 70 76 85 56 96 27 
103 29 40 75 47 47 79 
104 65 29 29 51 91 66 
105 71 34 44 51 35 77 
106 93 63 100 28 33 88 
107 76 46 36 31 90 76 
108 88 81 29 53 25 48 
109 53 76 43 46 40 85 
110 91 45 75 63 84 62 
111 28 31 69 98 80 25 
112 71 35 87 71 97 72 
113 35 26 76 78 86 78 
114 64 37 59 30 63 78 
115 34 95 96 66 40 47 
116 70 25 84 80 48 99 
117 52 62 100 68 72 31 
118 82 45 40 81 52 54 
119 28 95 64 75 80 71 
120 94 32 73 52 31 33 
121 83 96 69 49 35 68 
122 69 61 38 70 30 49 
123 40 25 46 65 99 48 
124 78 92 68 76 94 48 
125 70 41 76 93 50 42 
126 55 81 58 25 100 26 
127 100 50 64 30 92 100 
128 69 80 57 64 94 42 
129 52 81 40 31 57 38 
130 61 76 99 53 93 32 
131 83 60 91 93 30 28 
132 48 81 28 87 29 77 
133 29 34 75 48 48 26 
134 47 59 97 33 25 77 
135 75 86 53 93 36 91 
136 66 69 81 40 30 41 
137 84 76 68 80 66 54 
138 93 83 54 97 99 27 
139 30 66 55 43 67 65 
140 51 64 83 27 81 74 
141 51 52 79 89 94 72 
142 48 48 63 98 37 51 
143 37 37 96 37 27 70 
144 85 62 31 66 87 29 
145 41 87 93 70 85 58 
146 32 97 34 48 42 63 
147 34 64 84 30 72 26 
148 48 95 47 26 42 48 
149 91 91 46 53 25 29 
150 75 26 75 37 52 37 
151 35 87 76 63 40 62 
152 54 28 27 87 58 91 
153 35 25 28 28 80 30 
154 42 75 97 80 64 58 
155 62 84 95 54 90 84 
156 31 45 92 80 33 33 
157 99 79 88 93 27 26 
158 53 73 42 79 29 61 
159 68 54 63 50 58 83 
160 56 76 82 45 96 55 
161 57 34 56 83 63 61 
162 89 87 41 27 96 100 
163 88 91 57 29 92 65 
164 41 73 42 47 65 100 
165 31 55 97 42 99 29 
166 74 38 48 27 62 28 
167 81 70 38 46 34 46 
168 38 29 57 91 57 38 
169 96 68 72 87 91 98 
170 74 27 32 66 87 51 
171 29 27 59 83 85 53 
172 25 78 25 51 62 58 
173 34 62 51 35 61 49 
174 60 32 94 49 68 44 
175 83 62 70 36 38 35 
176 52 65 76 56 78 37 
177 31 41 28 52 26 28 
178 29 25 100 93 60 59 
179 30 72 91 26 63 79 
180 51 26 94 33 60 85 
181 38 39 84 78 88 52 
182 79 79 51 67 78 83 
183 92 73 48 99 69 79 
184 29 70 98 89 87 73 
185 49 82 67 39 88 32 
186 93 99 48 52 49 68 
187 75 41 30 64 89 30 
188 35 80 84 52 27 56 
189 72 77 92 58 42 54 
190 42 29 62 79 46 62 
191 93 90 50 41 66 54 
192 52 74 63 97 43 77 
193 69 35 100 100 83 82 
194 73 42 71 60 83 86 
195 82 56 38 76 90 62 
196 87 40 30 33 38 77 
197 29 92 52 84 48 51 
198 86 46 34 58 55 82 
199 39 33 41 92 97 53 
200 48 82 76 61 65 58 
201 51 86 89 45 37 91 
202 78 83 55 88 61 33 
203 66 82 54 30 55 68 
204 72 89 32 69 47 47 
205 45 83 92 93 72 70 
206 85 64 100 100 48 67 
207 52 76 51 72 32 58 
208 85 63 52 77 26 28 
209 65 48 30 56 91 50 
210 78 88 61 91 42 70 
211 26 39 75 37 39 49 
212 32 78 91 61 37 93 
213 75 100 52 68 26 72 
214 53 25 61 68 78 27 
215 47 26 50 40 33 29 
216 64 30 77 77 31 60 
217 43 79 70 47 59 86 
218 56 97 30 38 73 39 
