6 
1000 1000 1000 1000 1000 1000 
1 32 68 33 37 55 79 
2 36 88 37 65 93 87 
3 77 78 57 85 80 43 
4 68 65 78 71 87 77 
5 35 37 40 37 79 65 
6 41 90 85 37 29 82 
7 59 85 70 68 63 58 
8 39 42 68 70 98 83 
9 92 92 73 72 37 58 
10 50 53 77 41 70 30 
11 34 32 82 88 43 47 
12 30 61 88 75 93 78 
13 45 26 75 64 84 31 
14 98 97 42 65 35 74 
15 37 76 94 50 58 97 
16 29 45 38 51 52 40 
17 48 43 74 34 78 64 
18 44 49 31 83 95 31 
19 43 82 68 34 65 43 
20 89 84 41 32 72 98 
21 32 33 46 59 88 81 
22 80 68 37 45 29 45 
23 43 90 71 93 56 49 
24 34 93 29 28 82 29 
25 30 51 100 65 43 68 
26 44 100 79 84 52 53 
27 68 48 84 44 65 95 
28 66 47 54 97 34 98 
29 98 41 51 32 31 35 
30 94 93 30 86 85 55 
31 85 72 77 38 39 97 
32 97 84 43 86 48 76 
33 93 70 36 81 55 98 
34 31 89 31 93 28 70 
35 96 79 82 84 69 30 
36 74 36 25 40 92 90 
37 64 30 62 87 93 64 
38 80 71 81 68 84 78 
39 57 71 95 78 29 49 
40 31 86 40 66 91 70 
41 26 42 76 69 95 43 
42 88 39 85 30 30 92 
43 43 59 45 29 67 88 
44 28 58 79 80 72 69 
45 92 31 92 85 94 39 
46 84 79 79 87 31 71 
47 37 32 97 32 93 47 
48 79 87 91 50 62 55 
49 78 79 49 83 44 78 
50 84 81 58 79 83 78 
51 98 67 25 53 76 64 
52 55 89 49 63 66 72 
53 25 36 63 89 76 64 
54 46 55 37 77 28 54 
55 45 47 37 66 43 78 
56 80 53 63 62 95 97 
57 63 86 54 74 100 36 
58 84 72 96 29 53 59 
59 99 41 88 55 29 70 
60 66 56 40 53 70 52 
61 100 56 47 40 89 91 
62 37 63 28 47 34 44 
63 87 30 99 33 34 27 
64 38 48 65 99 54 75 
65 45 33 30 37 40 82 
66 67 59 74 49 61 57 
67 95 83 80 41 47 39 
68 62 57 84 40 100 73 
69 51 43 81 91 95 99 
70 64 83 69 26 63 100 
71 76 69 84 44 65 60 
72 83 44 77 82 70 96 
73 32 61 96 30 44 46 
74 82 64 50 47 51 78 
75 73 50 80 35 55 93 
76 39 70 52 95 60 67 
77 62 81 44 53 30 81 
78 81 82 43 36 43 83 
79 92 43 26 26 99 39 
80 29 49 62 53 81 27 
81 45 31 36 54 64 38 
82 61 64 54 62 31 32 
83 61 90 27 53 26 83 
84 51 51 41 36 79 86 
85 85 82 33 80 68 54 
86 69 78 60 36 40 54 
87 76 26 69 40 38 71 
88 93 34 62 34 48 86 
89 46 37 38 81 37 84 
90 83 83 83 47 90 40 
91 29 47 72 83 68 62 
92 77 41 91 27 39 28 
93 84 41 43 39 77 25 
94 95 38 73 69 28 41 
95 69 99 84 33 85 100 
96 81 63 29 39 36 48 
97 63 74 100 37 50 59 
98 55 68 53 57 82 74 
99 27 59 48 53 43 82 
100 72 97 65 87 100 82 
101 31 38 46 64 35 93 
102 59 80 64 64 73 41 
103 38 58 30 45 84 56 
104 37 79 100 42 45 80 
105 38 67 79 41 85 92 
106 94 34 32 48 88 25 
107 66 98 94 26 87 95 
108 54 29 31 89 44 85 
109 80 74 34 63 67 34 
110 82 98 96 70 97 84 
111 48 52 91 30 92 68 
112 46 94 67 57 60 37 
113 57 27 76 44 88 89 
114 84 46 73 61 72 68 
115 80 26 67 99 100 53 
116 89 92 88 51 32 27 
117 93 94 79 48 85 65 
118 26 37 79 83 74 87 
119 91 89 65 44 51 30 
120 64 46 99 61 85 57 
121 88 56 91 56 45 81 
122 40 36 92 65 42 70 
123 52 84 85 34 73 95 
124 65 98 29 48 49 96 
125 83 72 98 42 70 27 
126 40 35 38 74 36 69 
127 79 39 63 35 34 99 
128 80 67 76 48 34 37 
129 73 34 69 58 76 79 
130 92 53 76 48 54 95 
131 85 71 57 100 62 34 
132 85 82 92 63 71 74 
133 99 41 45 92 93 62 
134 75 46 44 49 68 25 
135 70 30 30 67 99 85 
136 37 34 79 83 53 28 
137 35 99 71 32 40 43 
138 64 65 80 66 43 98 
139 55 38 92 41 87 57 
140 32 45 29 35 96 85 
141 100 37 36 84 76 96 
142 30 90 37 25 99 98 
143 52 67 32 81 82 32 
144 91 77 98 68 28 49 
145 61 80 61 96 86 82 
146 78 75 43 48 27 89 
147 56 41 97 44 34 49 
148 55 72 57 45 82 85 
149 53 95 62 50 82 45 
150 40 64 39 56 99 56 
151 58 47 32 79 27 54 
152 61 58 89 88 43 60 
153 26 53 57 60 36 58 
154 88 71 87 68 60 70 
155 83 61 27 69 51 66 
156 70 93 65 71 52 65 
157 89 69 65 89 98 88 
158 69 50 99 48 68 92 
159 77 34 55 90 67 81 
160 42 37 48 26 48 66 
161 66 79 26 81 27 25 
162 30 55 44 68 57 52 
163 35 33 88 32 53 76 
164 55 54 45 56 37 79 
165 49 32 61 53 33 51 
166 31 32 65 84 67 89 
167 62 51 87 93 53 85 
168 50 65 91 32 54 42 
169 86 66 62 97 68 36 
170 93 83 81 78 35 40 
171 57 38 40 76 61 86 
172 39 100 78 48 88 58 
173 60 74 46 36 92 62 
174 43 58 78 92 30 68 
175 97 42 69 77 59 41 
176 68 93 80 92 70 43 
177 92 73 64 95 80 82 
178 45 25 37 58 70 35 
179 76 40 64 53 58 72 
180 63 86 63 64 25 92 
181 69 92 26 80 53 96 
182 63 60 59 74 97 35 
183 39 49 91 32 59 68 
184 62 99 78 81 54 86 
185 71 64 31 37 31 94 
186 84 31 82 73 87 89 
187 26 31 48 66 51 60 
188 80 79 66 36 76 76 
189 26 89 96 78 27 60 
190 73 93 81 74 85 87 
191 73 90 59 88 86 51 
192 26 86 63 96 60 98 
193 41 82 77 48 49 94 
194 76 90 39 59 55 97 
195 49 72 33 51 28 58 
196 61 62 49 55 85 71 
197 96 90 60 69 36 73 
198 47 80 43 42 96 59 
199 31 95 59 50 85 94 
200 50 40 26 73 40 97 
201 91 29 31 77 57 86 
202 64 44 25 30 65 94 
203 64 98 49 95 33 50 
204 67 61 40 90 58 67 
205 39 58 25 49 50 35 
206 99 86 85 51 31 65 
207 56 30 99 40 68 47 
208 42 45 63 51 94 79 
209 80 31 30 96 55 77 
210 51 78 32 35 28 70 
211 27 33 70 39 71 78 
212 88 57 94 37 95 25 
213 65 55 61 96 85 89 
214 69 36 68 54 38 73 
215 85 56 40 78 100 25 
216 53 34 82 48 79 86 
217 32 64 33 29 96 32 
218 40 60 81 88 82 94 
219 31 49 52 63 94 87 
220 80 99 29 42 40 25 
221 26 75 48 75 92 96 
222 48 89 98 78 59 67 
223 61 27 54 29 81 85 
224 72 100 93 67 79 82 
225 64 29 77 30 51 90 
226 61 89 48 71 82 34 
227 71 98 87 89 64 56 
228 75 93 36 98 59 88 
229 42 89 38 37 70 50 
230 25 56 49 65 73 34 
231 66 49 60 61 91 41 
232 79 69 99 73 58 60 
233 97 79 71 50 47 54 
234 98 56 48 32 28 39 
235 82 55 63 32 40 85 
236 75 85 86 45 76 77 
237 31 54 73 100 53 28 
238 27 93 97 83 58 36 
239 56 78 88 46 59 83 
240 32 77 43 63 78 70 
241 76 83 51 89 91 88 
242 97 70 47 45 75 50 
243 32 78 38 45 60 76 
244 82 49 87 53 72 35 
245 47 65 97 58 45 55 
246 63 36 37 75 48 27 
247 65 87 80 47 83 85 
248 30 67 80 91 65 50 
249 96 95 63 57 29 41 
250 99 79 38 62 51 80 
251 86 86 71 50 77 91 
252 46 86 46 81 98 92 
253 37 88 38 94 98 65 
254 72 83 28 73 43 27 
255 35 90 80 74 48 81 
256 39 60 25 68 93 60 
257 78 70 82 34 43 57 
258 25 58 69 27 43 49 
259 74 67 87 63 87 35 
260 39 61 29 71 55 83 
261 34 61 93 35 59 75 
262 92 45 83 88 67 51 
263 88 97 40 27 43 81 
264 76 96 56 99 98 39 
265 58 84 52 44 75 26 
266 84 38 58 89 98 97 
267 60 86 26 64 97 34 
268 50 29 92 82 83 59 
269 91 79 41 97 100 30 
270 33 27 91 58 88 89 
271 33 58 28 61 60 69 
272 50 32 64 42 85 32 
273 30 54 99 62 73 91 
274 100 68 98 44 63 63 
275 61 35 55 49 80 46 
276 76 50 60 56 60 41 
277 25 43 51 71 88 87 
278 67 42 77 70 38 39 
279 81 94 41 37 51 83 
280 36 99 36 68 100 77 
281 88 30 93 34 68 77 
282 47 56 48 69 33 77 
283 95 26 100 40 32 54 
284 68 86 73 99 29 52 
285 83 69 29 44 31 97 
286 80 45 78 88 54 53 
287 81 95 79 72 76 80 
288 75 48 64 85 27 81 
289 92 90 63 28 60 93 
290 68 74 61 64 77 75 
291 86 67 65 68 55 68 
292 68 79 96 100 51 31 
293 25 36 26 55 98 78 
294 29 98 27 36 42 94 
295 49 89 34 62 28 54 
296 39 34 85 56 72 85 
297 63 100 99 55 31 87 
298 35 87 67 98 70 84 
299 72 67 95 54 29 39 
300 47 54 96 84 88 66 
301 97 62 86 60 84 45 
302 68 45 75 78 70 37 
303 39 96 28 36 85 59 
304 73 58 32 97 67 48 
305 67 42 84 60 87 56 
306 60 90 63 68 78 96 
307 75 57 40 47 30 91 
308 56 29 72 34 73 50 
309 60 28 35 70 41 61 
310 99 56 43 80 28 48 
311 37 26 42 56 72 56 
312 81 33 45 99 81 31 
313 39 28 91 67 76 25 
314 31 96 83 79 60 35 
315 63 38 89 55 57 71 
316 42 53 84 81 43 48 
317 41 53 60 92 62 91 
318 71 41 58 36 94 82 
319 31 96 81 27 30 46 
320 36 57 54 64 65 50 
321 58 74 77 62 68 62 
322 94 73 53 62 66 87 
323 38 29 98 43 87 88 
324 99 64 72 28 35 31 
325 36 45 31 94 64 50 
326 41 96 87 97 56 79 
327 65 68 95 46 79 47 
328 40 56 47 59 39 34 
329 88 55 96 86 82 50 
330 42 31 82 38 73 28 
331 60 52 99 85 46 82 
332 97 56 41 89 60 44 
333 83 71 58 51 68 33 
334 93 49 76 60 46 92 
335 51 28 55 37 42 73 
336 45 87 25 83 90 98 
337 82 77 46 88 78 36 
338 26 91 69 27 82 90 
339 97 62 87 33 81 74 
340 99 75 100 78 54 76 
341 31 71 74 39 97 27 
342 59 69 54 28 48 43 
343 40 70 78 75 67 78 
344 76 64 73 55 54 69 
345 53 26 76 44 46 75 
346 64 56 59 55 77 63 
347 66 64 90 63 33 76 
348 77 92 91 31 48 54 
349 71 26 94 87 97 60 
350 100 97 34 92 95 69 
351 76 87 81 92 56 70 
352 42 95 49 55 30 100 
353 96 33 71 77 96 78 
354 84 66 59 95 53 81 
355 26 72 56 80 33 62 
356 68 29 82 82 73 70 
357 95 42 68 64 76 86 
358 100 47 47 80 41 48 
359 69 68 93 91 40 58 
360 47 61 78 89 72 91 
361 65 51 79 34 84 83 
362 67 31 43 58 87 55 
363 78 34 60 92 70 56 
364 52 93 91 62 54 93 
365 92 47 46 79 96 84 
366 51 92 61 84 51 79 
367 26 90 63 36 61 40 
368 65 80 92 94 30 72 
369 56 78 94 97 48 94 
370 85 81 44 34 78 49 
371 78 72 46 85 87 83 
372 93 71 61 47 51 76 
373 34 87 85 31 29 76 
374 68 26 32 63 68 63 
375 31 65 86 49 39 32 
376 72 38 83 74 62 29 
377 42 36 73 84 27 73 
378 59 44 37 39 98 86 
379 98 47 83 81 64 97 
380 52 56 53 59 100 93 
381 71 56 61 33 35 33 
382 85 57 84 69 74 74 
383 91 82 95 44 80 48 
384 58 94 43 95 79 54 
385 67 93 71 79 39 61 
386 95 27 40 75 88 98 
387 47 85 84 31 69 73 
388 87 43 97 73 97 46 
389 86 78 40 71 82 87 
390 87 54 32 30 91 98 
391 37 75 55 65 85 65 
392 72 49 36 83 68 75 
393 72 50 98 57 79 47 
394 26 79 89 93 61 91 
