6 
1000 1000 1000 1000 1000 1000 
1 232 310 252 226 315 398 
2 189 199 224 221 335 152 
3 380 270 206 189 363 348 
4 173 159 209 275 213 227 
5 132 146 224 239 123 144 
6 352 145 128 380 223 203 
7 158 339 185 316 261 141 
8 317 393 215 374 187 165 
9 328 347 319 134 252 311 
10 327 101 364 219 217 144 
11 206 351 223 189 352 296 
12 204 262 106 362 260 166 
13 143 190 298 205 251 252 
14 244 284 386 325 329 298 
15 165 359 324 168 107 255 
16 240 269 110 142 314 311 
17 211 240 259 192 206 348 
18 240 387 125 117 111 179 
19 276 139 166 186 351 297 
20 101 120 365 231 350 191 
21 247 158 223 249 350 369 
22 170 203 391 213 343 320 
23 292 275 376 232 245 376 
24 154 250 271 151 208 256 
25 341 135 142 319 310 160 
26 398 139 185 296 301 347 
27 230 214 359 248 342 267 
28 238 130 222 139 208 352 
29 232 396 183 320 151 207 
30 298 384 253 324 328 298 
31 263 103 297 344 348 262 
32 262 326 372 382 343 314 
33 311 122 240 236 383 100 
34 119 151 148 196 267 197 
35 182 308 203 314 123 217 
36 130 362 233 365 151 110 
37 102 355 359 265 219 262 
38 106 224 275 222 139 394 
39 232 254 261 255 299 134 
40 220 163 353 160 333 352 
41 121 211 377 341 132 360 
42 228 298 389 202 400 397 
43 383 312 194 299 102 298 
44 250 211 379 221 312 353 
45 240 262 387 322 253 338 
46 170 384 241 288 334 379 
47 321 217 231 146 305 291 
48 228 205 134 169 254 268 
49 146 372 232 188 245 377 
50 233 110 156 399 194 199 
51 215 288 217 331 383 264 
52 331 163 202 213 224 149 
53 339 286 334 144 269 250 
54 360 393 175 177 195 284 
55 240 269 108 213 126 320 
56 148 250 304 166 268 294 
57 180 131 218 177 354 385 
58 377 328 338 247 188 399 
59 176 102 287 279 206 326 
60 132 120 124 293 374 359 
61 232 219 102 107 124 109 
62 173 398 346 296 268 239 
63 152 145 338 350 210 145 
64 245 369 169 245 132 282 
65 111 260 222 292 115 297 
66 373 221 377 127 147 158 
67 190 326 362 147 200 207 
