4 
100 100 100 100  
1 41 3 16 12 
2 41 49 11 32 
3 45 28 48 46 
4 46 33 4 28 
5 39 8 16 21 
6 35 27 4 32 
7 39 10 39 26 
8 34 22 13 16 
9 9 27 7 44 
10 19 23 5 36 
11 10 25 15 18 
12 16 4 40 42 
13 31 16 4 35 
14 47 34 8 29 
15 50 46 32 10 
16 28 6 1 45 
17 2 16 43 39 
18 13 22 40 19 
19 6 16 50 46 
20 24 36 12 36 
21 30 14 13 21 
22 26 36 15 47 
23 46 31 42 9 
24 36 29 18 3 
25 14 12 30 25 
26 10 33 48 49 
27 24 34 5 43 
28 38 45 39 43 
29 25 14 2 6 
30 19 20 27 46 
31 10 45 6 29 
32 41 30 39 26 
33 21 22 10 19 
34 23 11 50 6 
35 18 35 17 28 
36 43 47 32 40 
37 14 7 10 6 
38 20 5 1 12 
39 11 35 16 9 
40 20 14 37 31 
41 27 27 4 9 
42 36 49 14 46 
43 20 36 48 11 
44 17 13 15 18 
45 38 4 14 38 
46 33 27 49 50 
47 9 12 15 26 
48 42 4 11 41 
49 37 41 3 35 
50 8 49 50 6 
51 35 25 47 8 
52 14 14 39 34 
53 26 10 19 22 
54 6 46 28 3 
55 32 28 30 14 
56 30 29 21 46 
57 10 15 44 23 
58 2 47 32 36 
59 11 8 31 43 
60 31 31 21 43 
61 20 7 3 43 
62 28 44 44 5 
63 50 39 33 13 
64 21 11 14 32 
65 12 10 15 29 
66 10 46 27 8 
67 6 33 33 41 
68 31 47 13 46 
69 11 23 25 39 
70 40 49 26 20 
71 44 3 33 23 
72 22 26 43 4 
73 18 3 47 41 
74 48 14 32 48 
75 10 29 39 3 
76 16 14 12 12 
77 12 6 37 30 
78 37 34 38 49 
79 7 32 27 22 
80 25 26 23 18 
81 44 1 50 32 
82 22 30 30 10 
83 48 42 31 23 
84 44 35 2 22 
85 3 27 23 26 
86 13 10 4 34 
87 31 5 47 44 
88 18 25 9 37 
89 44 18 42 25 
90 13 7 22 32 
91 5 25 1 2 
92 8 49 17 30 
93 11 28 47 24 
94 39 20 24 3 
95 42 24 36 25 
96 36 25 27 5 
97 46 31 27 17 
98 21 26 25 25 
99 4 40 8 35 
100 14 26 5 30 
101 3 21 16 20 
102 3 28 45 13 
103 29 38 34 29 
104 36 15 42 6 
105 25 46 24 38 
106 38 50 25 21 
107 21 33 14 46 
108 21 45 31 12 
109 7 21 12 13 
110 48 20 13 40 
111 16 43 10 14 
112 49 4 18 1 
113 15 32 28 46 
114 49 35 42 18 
115 3 16 33 4 
116 28 37 20 13 
117 28 26 9 25 
118 23 19 45 26 
119 23 42 27 4 
120 50 21 4 14 
121 16 19 15 3 
122 12 26 17 30 
123 17 3 6 35 
124 40 26 23 44 
125 18 9 31 25 
126 27 3 23 43 
127 39 41 30 4 
128 37 34 31 40 
129 34 5 21 32 
130 12 49 26 25 
131 8 27 7 26 
132 46 46 50 27 
133 10 26 15 42 
134 40 23 17 6 
135 31 29 12 48 
136 16 21 20 27 
137 36 47 46 28 
138 16 10 14 43 
139 50 27 40 50 
140 32 48 9 20 
141 4 21 46 29 
142 23 25 14 32 
143 45 30 19 15 
144 49 15 21 9 
145 5 5 46 38 
146 47 43 32 28 
147 6 26 18 10 
148 11 5 49 22 
149 12 19 14 22 
150 39 8 50 49 
151 23 35 1 44 
152 8 1 27 1 
153 40 17 36 33 
154 4 17 4 23 
155 50 36 17 48 
156 30 6 44 46 
157 46 12 34 1 
158 24 15 35 38 
159 45 25 43 32 
160 28 19 50 8 
161 31 33 27 36 
162 46 28 44 13 
163 21 43 28 19 
164 41 50 12 40 
165 1 28 20 8 
166 36 8 3 3 
167 9 31 34 5 
168 5 5 16 28 
169 20 28 43 39 
170 23 5 15 6 
171 30 36 7 39 
172 32 17 23 15 
173 16 11 3 15 
174 2 37 9 34 
175 23 5 2 31 
176 48 34 17 2 
177 3 18 30 14 
178 9 1 40 17 
179 42 41 39 14 
180 21 20 17 23 
181 26 20 30 7 
182 46 34 39 21 
183 4 43 10 25 
184 43 41 37 35 
185 46 24 7 34 
186 40 31 15 29 
187 18 46 24 20 
188 39 1 46 26 
189 14 9 6 28 
190 20 49 20 17 
191 25 33 46 6 
192 10 33 40 39 
193 4 20 33 36 
194 15 40 43 49 
195 49 23 19 33 
196 20 21 48 13 
197 24 41 35 50 
198 38 3 29 26 
199 34 29 6 39 
200 24 43 44 38 
201 20 8 9 7 
202 27 46 40 9 
203 3 46 40 32 
204 31 28 14 39 
205 14 23 8 38 
206 38 38 32 36 
207 46 24 1 26 
208 21 42 37 18 
209 43 18 38 14 
210 2 44 38 1 
211 21 17 20 16 
212 5 39 8 39 
213 44 50 28 8 
214 26 43 9 40 
215 5 50 11 28 
216 23 35 36 49 
217 46 41 50 36 
218 43 21 50 40 
219 18 5 15 27 
220 4 33 32 42 
221 32 24 48 36 
222 20 48 39 27 
223 21 22 24 40 
224 24 32 18 41 
225 41 10 40 46 
226 19 26 12 48 
227 11 31 9 38 
228 8 26 24 25 
229 19 44 30 47 
230 5 47 33 12 
231 17 42 39 2 
232 16 25 12 34 
233 35 34 2 50 
234 23 39 7 35 
235 49 46 18 3 
236 2 13 30 4 
237 25 10 4 8 
238 27 40 21 35 
239 8 28 2 42 
240 13 7 36 30 
241 17 9 50 31 
242 27 20 21 10 
243 49 32 40 44 
244 38 6 38 30 
245 22 36 50 44 
246 38 1 21 10 
247 10 19 35 5 
248 50 32 21 18 
249 10 18 21 18 
250 47 46 50 19 
251 35 21 30 5 
252 3 3 10 24 
253 16 15 7 21 
254 19 3 23 3 
255 17 17 6 4 
256 5 4 4 39 
257 20 40 9 6 
258 37 3 46 13 
259 3 18 29 4 
260 28 48 4 6 
261 21 32 38 40 
262 27 6 38 13 
263 23 41 21 18 
264 23 46 42 31 
265 14 19 34 30 
266 9 21 32 5 
267 11 28 37 27 
268 27 47 12 16 
269 17 8 47 33 
270 7 50 25 26 
271 13 1 28 17 
272 38 32 27 24 
273 12 9 13 25 
274 25 5 21 24 
275 15 35 25 6 
276 3 15 2 16 
277 40 24 19 40 
278 29 42 17 30 
279 30 49 38 13 
280 19 13 46 13 
281 47 3 7 46 
282 47 12 37 13 
