4 
100 100 100 100  
1 6 1 3 35 
2 21 18 16 10 
3 23 33 3 13 
4 13 10 42 32 
5 6 20 12 23 
6 26 18 45 1 
7 28 21 18 29 
8 12 1 18 21 
9 33 36 2 48 
10 12 46 43 41 
11 9 43 11 14 
12 22 5 47 1 
13 44 44 21 32 
14 15 36 26 39 
15 22 12 33 3 
16 37 31 48 12 
17 30 9 17 10 
18 12 46 12 27 
19 17 24 46 36 
20 2 33 12 1 
21 10 24 24 48 
22 39 15 7 34 
23 7 9 11 45 
24 50 49 41 10 
25 30 18 19 1 
26 44 18 24 19 
27 15 32 30 50 
28 37 13 2 5 
29 23 38 25 41 
30 24 23 30 26 
31 18 2 48 34 
32 29 37 18 44 
33 17 24 21 4 
34 4 25 9 1 
35 18 34 21 34 
36 50 43 37 26 
37 11 36 32 38 
38 42 48 16 16 
39 29 40 34 43 
40 17 32 46 27 
41 41 14 35 47 
42 8 48 38 19 
43 49 25 4 39 
44 46 12 14 2 
45 4 23 15 18 
46 20 27 41 47 
47 47 21 25 7 
48 8 48 12 31 
49 19 23 33 21 
50 50 37 24 3 
51 40 17 49 2 
52 27 34 18 7 
53 40 25 6 48 
54 18 7 18 26 
55 9 13 6 34 
56 23 21 46 44 
57 7 42 7 42 
58 46 48 9 27 
59 2 33 43 20 
60 17 32 9 21 
61 6 10 6 3 
62 7 43 14 3 
63 11 20 40 38 
64 48 36 39 16 
65 29 36 3 30 
66 13 30 15 19 
67 10 49 3 16 
68 35 40 26 30 
69 15 7 31 9 
70 20 33 40 42 
71 5 20 11 35 
72 27 33 30 8 
73 8 39 17 9 
74 49 13 33 13 
75 5 12 1 11 
76 12 27 10 28 
77 40 7 49 2 
78 39 43 46 22 
79 43 45 30 41 
80 14 3 42 31 
81 26 4 15 50 
82 2 12 26 11 
83 28 19 4 43 
84 16 43 5 23 
85 6 30 1 16 
86 50 50 2 17 
87 41 12 49 36 
88 5 6 24 10 
89 33 36 50 1 
90 36 50 11 1 
91 25 27 3 33 
92 15 3 46 13 
93 23 49 14 20 
94 20 38 39 26 
95 35 18 18 10 
96 42 21 44 12 
97 47 46 27 24 
98 31 28 45 47 
99 47 46 45 39 
100 24 7 41 45 
101 35 34 31 31 
102 33 39 9 11 
103 10 36 21 22 
104 21 38 29 40 
105 13 3 13 19 
106 34 19 26 50 
107 15 44 33 3 
108 8 45 11 32 
109 31 11 44 2 
110 44 45 3 45 
111 43 21 18 49 
112 41 11 33 16 
113 18 50 26 46 
114 4 35 40 7 
115 4 25 29 41 
116 41 16 38 1 
117 6 47 5 45 
118 40 38 8 16 
119 40 34 41 4 
120 35 24 36 36 
121 14 4 36 8 
122 1 49 33 43 
123 28 15 36 31 
124 5 46 32 26 
125 47 3 9 27 
126 48 22 37 2 
127 1 8 41 24 
128 42 32 45 42 
129 21 36 20 35 
130 23 9 36 4 
131 7 22 20 32 
132 25 28 38 40 
133 50 16 17 6 
134 37 4 6 49 
135 32 42 25 38 
136 42 38 38 9 
137 17 49 29 38 
138 33 50 9 12 
139 33 21 4 32 
140 16 37 37 8 
141 17 26 48 33 
142 39 21 41 34 
143 29 42 48 28 
144 35 29 30 46 
145 34 50 22 14 
146 40 9 42 25 
147 36 16 7 23 
148 5 7 24 17 
149 36 26 1 26 
150 20 49 33 48 
151 8 32 8 28 
152 2 16 4 32 
153 3 21 36 48 
154 20 17 9 46 
155 26 7 5 8 
156 34 7 26 8 
157 45 48 2 34 
158 45 33 8 40 
159 45 32 50 24 
160 31 8 13 20 
161 39 26 16 19 
162 11 43 36 9 
163 4 20 22 39 
164 2 41 25 29 
165 40 11 26 18 
166 11 22 28 31 
167 29 21 16 40 
168 39 16 28 38 
169 34 38 10 2 
170 7 32 5 21 
171 6 33 37 41 
172 17 40 29 49 
173 13 3 4 18 
174 26 5 48 23 
175 47 48 8 30 
176 4 49 33 36 
177 2 5 29 35 
178 29 2 6 34 
179 33 44 25 4 
180 7 42 20 6 
181 42 23 31 27 
182 44 49 9 40 
183 19 7 49 30 
184 50 40 31 10 
185 18 4 23 10 
186 33 49 32 29 
187 1 23 44 6 
188 16 13 13 21 
189 5 50 48 48 
190 38 12 2 12 
191 22 24 47 2 
192 38 9 10 15 
193 17 1 31 23 
194 32 39 42 15 
195 19 1 16 14 
196 10 48 23 37 
197 11 16 30 46 
198 41 39 36 6 
199 31 7 32 8 
200 46 15 25 27 
201 35 42 2 34 
202 24 42 9 9 
203 23 49 6 41 
204 25 39 35 24 
205 17 47 32 37 
206 30 41 46 18 
207 31 6 34 5 
208 36 17 33 7 
209 16 34 19 6 
210 2 39 11 8 
211 49 28 13 16 
212 3 22 50 33 
213 4 15 42 4 
214 20 30 43 33 
215 50 31 26 41 
216 20 20 9 4 
217 42 44 10 40 
218 20 22 26 16 
219 29 18 30 3 
220 36 6 6 4 
221 34 41 15 22 
222 16 39 20 40 
223 2 29 31 39 
224 14 25 21 12 
225 33 26 14 21 
226 35 30 44 45 
227 17 35 46 49 
228 47 5 41 32 
229 30 29 39 7 
230 22 26 35 34 
231 13 17 14 22 
232 37 39 3 18 
233 4 39 23 5 
234 35 14 6 21 
235 45 25 1 30 
236 1 42 22 47 
237 35 6 23 47 
238 21 1 15 8 
239 29 44 22 25 
240 28 20 22 26 
241 23 37 14 12 
242 49 22 6 7 
243 13 5 42 46 
244 34 6 14 46 
245 13 42 38 39 
246 48 22 49 13 
247 41 24 12 13 
248 46 35 10 27 
249 25 18 8 16 
250 9 22 10 32 
251 19 24 3 42 
252 12 22 17 44 
253 45 13 24 41 
254 29 19 50 36 
255 29 13 13 50 
256 22 21 48 41 
257 25 20 1 39 
258 3 29 42 23 
259 25 7 24 6 
260 44 15 4 24 
261 34 16 35 13 
262 26 35 1 38 
263 5 19 17 19 
264 31 15 29 4 
265 49 35 5 20 
266 45 12 27 14 
267 8 33 32 14 
268 1 33 30 8 
269 44 10 16 1 
270 49 14 35 44 
271 15 17 47 14 
272 21 28 23 20 
273 7 37 48 15 
274 30 39 35 36 
275 37 26 38 23 
276 30 21 20 24 
277 13 7 45 40 
278 31 32 11 1 
279 41 35 12 46 
280 12 32 50 9 
281 8 30 42 30 
282 44 7 36 39 
283 33 15 28 10 
284 37 6 10 38 
285 6 12 40 4 
286 3 19 29 11 
287 50 5 39 8 
288 32 26 23 21 
289 29 24 18 25 
290 27 27 8 8 
291 32 6 31 29 
292 5 24 2 6 
293 36 23 42 10 
294 43 22 44 17 
295 15 39 38 35 
296 44 46 40 23 
297 1 39 28 40 
298 10 5 31 44 
299 10 7 38 37 
300 32 22 31 2 
301 35 36 13 19 
302 5 14 39 11 
303 2 23 6 19 
304 45 47 14 1 
305 17 4 33 37 
306 15 40 15 46 
307 18 16 2 42 
308 5 44 16 28 
309 20 8 30 47 
310 31 45 3 2 
311 24 50 7 7 
312 16 43 36 13 
313 20 42 39 28 
314 46 2 10 19 
315 13 24 47 50 
316 3 25 46 24 
317 18 22 39 45 
318 15 7 37 35 
319 38 25 17 12 
320 27 13 40 28 
321 11 24 7 46 
322 28 17 19 10 
323 39 23 7 32 
324 26 9 14 21 
325 33 14 7 10 
326 4 17 7 10 
327 41 33 49 32 
328 22 49 5 32 
329 10 9 28 27 
330 7 29 47 33 
331 20 7 4 49 
332 18 42 2 6 
333 11 39 8 28 
334 31 28 43 2 
335 10 45 3 1 
336 46 13 43 9 
337 30 20 27 45 
338 27 43 50 39 
339 7 8 7 33 
340 10 31 12 47 
341 34 34 24 23 
342 3 21 48 1 
343 2 7 9 40 
344 28 30 30 33 
345 22 41 22 13 
346 31 46 45 40 
347 24 38 37 21 
348 29 13 37 19 
349 48 35 22 1 
350 21 14 36 37 
351 49 9 40 8 
352 43 10 29 19 
353 29 20 47 17 
354 13 6 18 4 
355 23 21 1 7 
356 13 50 17 32 
357 15 32 47 28 
358 38 41 25 23 
359 31 6 9 9 
360 22 42 10 12 
