4 
40 40 40 40  
1 28 24 5 24 
2 19 13 34 12 
3 14 14 33 29 
4 12 26 32 27 
5 15 32 1 28 
6 17 33 29 21 
7 1 21 16 27 
8 27 15 22 29 
9 24 28 29 27 
10 23 25 28 10 
11 2 17 19 12 
12 3 3 32 2 
13 14 13 26 13 
14 24 12 7 10 
15 15 22 5 23 
16 28 24 8 11 
17 34 12 34 10 
18 33 32 9 1 
19 32 32 24 35 
20 21 24 18 15 
21 17 32 22 17 
22 26 18 33 34 
23 16 7 18 17 
24 23 12 30 4 
25 13 27 26 26 
26 34 10 8 1 
27 21 11 31 22 
28 7 29 4 29 
29 15 3 28 18 
30 35 19 27 19 
31 1 9 30 26 
32 33 32 33 34 
33 15 23 7 12 
34 23 20 19 29 
35 31 15 26 27 
36 13 9 1 12 
37 14 10 8 5 
38 8 32 4 20 
39 5 31 27 8 
40 22 11 18 7 
41 29 35 33 34 
42 23 2 19 13 
43 11 25 23 8 
44 6 6 23 27 
45 33 4 4 24 
46 13 31 1 4 
47 4 24 8 29 
48 14 27 11 30 
49 26 29 26 28 
50 32 9 26 8 
51 11 10 29 12 
52 19 5 11 25 
53 16 2 8 31 
54 29 11 4 34 
55 27 4 12 24 
56 24 8 33 2 
57 6 14 26 14 
58 34 12 6 17 
59 35 21 9 31 
60 31 4 14 13 
61 7 20 31 28 
62 20 15 30 16 
63 11 34 15 4 
64 19 32 10 14 
65 13 19 15 28 
66 19 9 20 19 
67 14 18 4 31 
68 5 29 4 15 
69 3 5 8 7 
70 11 10 34 5 
71 11 30 1 27 
72 27 34 31 9 
73 21 27 21 16 
74 25 28 19 24 
75 29 16 18 35 
76 25 9 7 16 
77 10 10 24 22 
78 4 22 8 16 
79 24 13 30 5 
80 17 34 24 19 
81 3 6 21 28 
82 6 8 15 24 
83 9 20 30 7 
84 1 11 8 7 
85 11 34 24 33 
86 32 6 6 21 
87 26 22 4 25 
88 22 1 13 10 
89 10 24 3 29 
90 30 1 23 19 
91 20 6 12 20 
92 29 18 34 11 
93 27 33 11 19 
94 11 12 5 33 
95 8 35 9 28 
96 33 28 24 6 
97 26 4 14 13 
98 12 1 2 22 
99 7 12 20 9 
100 34 20 1 11 
101 25 27 22 19 
102 26 23 32 14 
103 30 23 2 24 
104 16 14 17 14 
105 9 19 17 16 
106 28 11 8 16 
107 22 2 2 5 
108 2 30 7 21 
109 5 23 26 13 
110 25 11 18 7 
111 7 15 10 9 
112 19 20 30 1 
113 5 9 14 3 
114 21 30 13 9 
115 18 18 19 7 
116 8 10 26 10 
117 24 27 14 12 
118 31 6 17 16 
119 3 2 32 19 
120 31 23 7 9 
121 1 29 33 25 
122 3 22 22 22 
123 19 26 28 19 
124 25 35 16 20 
125 27 18 9 33 
126 8 30 2 14 
127 28 16 5 8 
128 1 2 8 10 
