4 
1000 1000 1000 1000  
1 98 194 197 72 
2 183 66 128 88 
3 131 146 115 141 
4 136 176 200 147 
5 168 85 87 164 
6 129 128 187 136 
7 110 141 138 121 
8 144 138 198 135 
9 197 177 133 54 
10 166 93 136 113 
11 79 140 183 76 
12 190 114 110 129 
13 182 188 105 127 
14 165 131 100 170 
15 161 127 98 119 
16 64 78 85 101 
17 124 146 133 63 
18 98 69 187 173 
19 66 79 64 57 
20 90 184 98 135 
21 166 93 187 145 
22 167 84 139 107 
23 134 154 160 84 
24 197 96 66 125 
25 129 193 198 55 
26 116 102 178 158 
27 136 141 142 158 
28 196 118 96 122 
29 194 50 54 69 
30 99 176 84 75 
31 147 141 161 133 
32 155 67 167 57 
33 62 153 109 192 
34 83 165 147 92 
35 179 107 176 87 
36 133 171 64 163 
37 92 63 106 181 
38 66 137 165 60 
39 127 146 93 172 
40 150 137 82 81 
41 100 182 120 74 
42 152 135 160 80 
43 133 158 104 130 
44 124 70 184 76 
45 170 131 194 69 
46 188 92 173 153 
47 134 193 103 82 
48 76 153 102 106 
49 101 128 161 175 
50 94 95 54 186 
51 121 57 157 73 
52 60 143 164 55 
53 66 75 61 131 
54 189 59 63 123 
55 66 112 135 132 
56 96 157 179 166 
57 84 87 91 91 
58 183 199 139 170 
59 92 62 94 174 
60 183 162 85 174 
61 132 191 51 62 
62 179 173 145 157 
63 125 171 55 141 
64 169 185 141 163 
65 79 76 63 71 
66 52 158 148 178 
67 182 124 128 197 
68 200 125 85 195 
69 60 183 52 64 
70 120 97 52 66 
71 101 134 112 56 
72 106 101 193 115 
73 85 115 106 146 
74 78 113 190 57 
75 100 175 68 64 
76 100 58 125 72 
77 153 168 84 139 
78 185 175 65 198 
79 167 169 123 60 
80 184 176 93 80 
81 109 81 153 160 
82 154 168 90 144 
83 122 62 197 61 
84 54 141 171 116 
85 129 105 86 189 
86 194 170 171 138 
87 139 188 141 82 
88 189 64 53 181 
89 115 181 165 135 
90 78 88 147 103 
91 183 164 188 91 
92 113 146 72 116 
93 105 104 120 165 
94 103 124 91 107 
95 134 83 149 158 
96 106 163 192 60 
97 140 198 96 68 
98 146 82 87 190 
99 128 109 160 129 
100 62 113 184 185 
101 50 184 111 102 
102 197 78 72 188 
103 163 70 129 112 
104 191 169 115 196 
105 130 182 127 128 
106 123 175 116 92 
107 114 132 78 78 
108 85 160 132 78 
109 51 54 169 63 
110 57 164 122 172 
111 52 120 100 142 
112 68 198 64 156 
113 54 114 145 67 
114 115 106 105 193 
115 159 167 111 94 
116 96 180 192 130 
117 184 137 145 57 
118 64 118 189 197 
119 129 111 90 111 
120 129 83 175 197 
121 166 99 160 134 
122 106 121 194 190 
123 179 90 113 139 
124 184 175 91 113 
125 153 179 133 144 
126 116 61 55 169 
127 81 93 165 110 
128 67 128 154 94 
129 185 54 176 151 
130 199 88 54 179 
131 187 183 180 57 
132 108 172 81 135 
133 133 126 146 140 
134 94 175 110 141 
135 176 78 161 174 
136 76 141 148 125 
137 78 154 161 120 
138 148 61 98 99 
139 58 162 116 83 
140 185 99 128 197 
141 162 163 128 141 
142 106 190 74 57 
143 87 110 130 192 
144 103 199 85 94 
145 59 174 197 91 
146 187 87 117 75 
147 174 140 122 147 
148 157 112 114 178 
149 61 153 134 70 
150 159 51 74 129 
151 180 125 126 145 
152 84 116 105 72 
153 143 164 119 140 
154 146 162 140 131 
155 126 134 77 127 
156 116 189 140 184 
157 176 104 52 121 
158 177 139 129 79 
159 54 90 83 178 
160 170 92 143 65 
161 102 128 141 97 
162 90 86 54 170 
163 68 150 129 160 
164 182 50 117 101 
165 119 56 130 183 
166 163 118 122 160 
167 151 71 87 191 
168 73 137 101 77 
169 155 113 125 90 
170 79 52 74 68 
171 85 81 172 77 
172 88 143 160 102 
173 145 194 186 65 
174 62 119 123 111 
175 188 54 178 195 
176 192 113 174 51 
177 133 140 107 74 
178 198 173 52 93 
179 53 117 198 64 
180 192 69 68 103 
181 87 150 199 165 
182 159 55 60 83 
183 56 53 148 162 
184 51 200 150 171 
185 58 102 120 75 
186 121 120 199 138 
187 115 191 181 142 
188 133 104 192 52 
189 103 132 83 93 
190 108 131 165 167 
191 126 175 81 196 
192 98 100 66 73 
193 97 187 131 150 
194 160 73 102 161 
195 182 119 133 142 
196 113 113 86 109 
197 84 118 154 125 
198 150 155 125 141 
199 154 75 180 94 
200 144 65 123 82 
201 189 51 172 182 
202 62 181 82 141 
203 121 132 113 194 
204 104 89 169 173 
205 137 136 152 108 
206 122 186 159 90 
207 198 132 186 157 
208 147 151 126 109 
209 119 146 75 121 
210 56 199 171 151 
211 94 134 157 122 
212 117 76 141 162 
213 107 170 88 85 
214 152 63 111 93 
215 88 171 171 54 
216 139 163 153 135 
217 145 195 177 58 
218 177 175 200 72 
219 176 193 130 52 
220 110 143 167 76 
221 66 151 140 108 
222 167 55 189 113 
223 94 128 126 100 
224 175 66 90 90 
225 199 51 127 55 
226 151 178 171 79 
227 163 86 121 194 
228 140 54 132 79 
229 112 69 187 148 
230 127 135 131 135 
231 51 156 166 154 
232 190 156 125 141 
233 159 173 150 150 
234 60 75 56 165 
235 55 154 159 154 
236 142 110 54 72 
237 135 184 192 90 
238 149 170 66 114 
239 175 95 104 79 
240 154 195 109 111 
