4 
1000 1000 1000 1000  
1 51 890 280 395 
2 222 671 378 504 
3 950 940 92 244 
4 210 3 805 836 
5 612 434 918 699 
6 597 441 915 57 
7 620 34 618 416 
8 759 965 286 762 
9 572 482 617 900 
10 91 954 49 548 
11 800 584 11 690 
12 895 706 58 427 
13 974 411 213 400 
14 461 108 475 429 
15 515 141 956 235 
16 400 417 493 286 
17 896 169 897 825 
18 130 687 192 691 
19 606 320 105 174 
20 670 499 436 741 
21 852 603 4 120 
22 323 734 653 770 
23 508 897 349 465 
24 759 165 487 274 
25 91 226 797 852 
26 522 957 177 775 
27 394 769 783 228 
28 929 793 351 668 
29 489 426 945 779 
30 883 839 580 364 
31 613 598 472 92 
32 210 399 490 835 
33 926 791 709 172 
34 484 782 244 22 
35 563 993 413 34 
36 428 121 701 134 
37 307 98 680 29 
38 552 905 308 194 
39 313 772 863 584 
40 322 768 411 262 
41 466 945 543 629 
42 870 124 949 78 
43 4 151 870 776 
44 357 297 955 902 
45 237 484 581 934 
46 140 360 98 202 
47 367 829 114 62 
48 910 513 215 777 
49 360 558 374 635 
50 930 778 692 676 
51 922 893 515 616 
52 722 227 837 273 
53 316 177 519 44 
54 361 605 239 331 
55 916 633 444 255 
56 288 693 651 218 
57 891 291 569 140 
58 421 915 257 941 
59 361 620 210 523 
60 442 762 922 879 
61 356 981 174 710 
62 151 657 794 341 
63 920 763 679 959 
64 120 371 679 596 
65 431 223 521 768 
66 759 930 508 198 
67 230 935 744 381 
68 771 24 729 43 
69 65 493 648 12 
70 785 41 799 510 
71 390 10 97 10 
72 678 620 563 523 
73 247 930 963 930 
74 63 34 716 654 
75 663 651 515 901 
76 334 325 406 31 
77 813 699 415 247 
78 707 587 567 796 
79 493 948 340 880 
80 644 496 181 662 
81 885 620 374 302 
82 305 942 743 983 
83 554 97 251 956 
84 784 349 121 491 
85 574 953 35 1 
86 396 356 92 295 
87 72 928 116 544 
88 835 860 703 5 
89 578 661 494 484 
90 394 160 98 434 
91 970 245 161 338 
92 731 754 322 625 
93 713 453 536 810 
94 476 43 616 299 
95 159 916 399 761 
96 69 38 693 700 
97 821 123 864 555 
98 466 309 303 31 
99 335 136 672 274 
100 279 984 993 399 
101 156 441 559 263 
102 947 7 218 695 
103 237 748 378 817 
104 597 701 173 808 
105 670 939 115 619 
106 410 779 464 172 
107 275 231 538 846 
108 153 253 316 266 
109 858 240 343 494 
110 701 962 97 222 
111 43 637 779 845 
112 881 736 762 527 
113 935 816 144 775 
114 6 812 316 969 
115 843 600 361 860 
116 921 876 131 644 
117 433 91 434 237 
118 32 773 179 409 
119 825 663 368 1 
120 274 995 999 368 
121 38 219 496 340 
122 148 847 482 506 
123 138 803 772 835 
124 673 6 826 965 
125 383 559 522 345 
126 114 872 734 787 
127 270 618 341 543 
128 85 464 495 802 
129 988 529 171 798 
130 789 746 234 39 
131 52 424 695 997 
132 906 885 34 382 
133 702 898 243 979 
134 121 281 641 114 
135 110 958 689 66 
136 608 23 504 807 
137 346 30 650 772 
138 812 136 255 993 
139 256 391 7 841 
140 852 262 596 716 
141 850 425 938 525 
142 782 295 166 647 
143 636 259 452 171 
144 177 428 219 704 
145 653 517 661 590 
146 988 625 580 16 
147 17 69 749 11 
148 17 714 976 670 
149 631 864 854 539 
150 574 697 766 645 
151 387 114 552 108 
152 877 120 919 545 
153 579 967 157 303 
154 936 438 740 870 
155 271 386 603 862 
156 345 927 699 91 
157 774 514 15 145 
158 7 585 531 330 
159 895 348 902 479 
160 724 907 609 379 
161 362 739 319 680 
162 623 300 37 869 
163 277 797 717 93 
164 226 127 774 166 
165 280 377 363 14 
166 470 11 524 650 
167 645 363 389 624 
168 800 147 471 4 
169 154 180 441 788 
170 817 974 14 195 
171 630 540 69 653 
172 792 819 544 419 
173 547 687 346 335 
174 651 701 102 509 
175 966 590 459 740 
176 854 333 782 470 
177 610 79 995 806 
178 88 960 508 952 
179 382 616 943 1000 
180 447 438 107 804 
181 94 686 42 965 
182 362 581 959 70 
183 153 641 756 637 
184 74 213 728 594 
185 31 168 337 430 
186 150 819 555 833 
187 365 999 377 352 
188 94 241 33 518 
189 445 609 336 40 
190 451 440 11 328 
191 449 43 480 376 
192 80 297 277 222 
193 760 595 737 540 
