4 
1000 1000 1000 1000  
1 89 352 258 895 
2 808 662 667 215 
3 13 894 438 163 
4 311 865 559 135 
5 905 137 768 675 
6 453 103 5 764 
7 296 886 678 848 
8 243 763 51 20 
9 874 328 746 569 
10 860 799 463 994 
11 773 920 139 730 
12 31 276 403 517 
13 485 678 197 876 
14 302 897 679 196 
15 278 585 942 351 
16 707 636 817 957 
17 47 567 545 856 
18 484 846 296 959 
19 868 538 432 860 
20 381 399 385 609 
21 59 485 678 190 
22 594 619 271 691 
23 413 193 616 785 
24 921 698 882 888 
25 227 425 656 480 
26 425 832 11 639 
27 634 691 347 897 
28 326 298 294 745 
29 150 581 210 4 
30 489 772 160 237 
31 861 170 176 798 
32 2 333 212 902 
33 932 286 106 686 
34 796 922 759 805 
35 745 15 495 195 
36 21 519 582 755 
37 74 624 62 944 
38 644 239 15 205 
39 11 385 93 980 
40 852 235 946 781 
41 477 884 536 821 
42 841 172 699 281 
43 125 555 626 917 
44 127 526 326 488 
45 740 981 308 8 
46 683 479 155 925 
47 906 751 376 766 
48 618 4 799 185 
49 34 388 820 436 
50 151 869 98 691 
51 492 409 859 547 
52 79 733 614 779 
53 742 771 395 541 
54 977 175 7 884 
55 892 125 680 472 
56 923 741 147 540 
57 153 664 788 631 
58 205 506 396 192 
59 426 622 284 559 
60 487 530 491 558 
61 420 281 655 369 
62 184 175 747 664 
63 238 536 525 320 
64 861 973 253 550 
65 622 177 161 739 
66 23 155 43 152 
67 840 296 891 586 
68 916 839 840 622 
69 682 18 965 412 
70 400 503 988 153 
71 157 692 529 50 
72 501 99 132 657 
73 354 800 928 526 
74 306 268 697 205 
75 399 550 724 240 
76 248 737 140 143 
77 423 635 363 520 
78 601 891 720 57 
79 295 825 498 550 
80 814 346 553 53 
81 851 285 146 349 
82 88 81 898 253 
83 471 481 809 436 
84 277 636 942 305 
85 694 87 544 882 
86 937 600 620 459 
87 118 671 205 245 
88 115 366 357 194 
89 82 669 871 110 
90 560 879 689 599 
91 279 67 342 170 
92 983 250 731 153 
93 663 773 221 312 
94 955 738 887 248 
95 98 204 166 305 
96 777 344 63 773 
97 985 601 181 256 
98 257 437 799 582 
99 90 617 362 810 
100 928 524 834 36 
101 181 748 112 348 
102 359 992 792 598 
103 679 41 151 632 
104 233 301 131 203 
105 537 399 114 421 
106 363 570 514 493 
107 212 787 697 456 
108 162 464 325 259 
109 877 168 23 119 
110 164 192 565 925 
111 261 178 217 120 
112 341 272 761 28 
113 887 748 303 423 
114 914 576 657 975 
115 118 889 889 654 
116 542 897 778 709 
117 528 779 639 477 
118 25 842 655 822 
119 731 996 440 223 
120 73 75 909 247 
121 724 716 438 554 
122 34 982 435 985 
123 462 615 583 962 
124 320 894 561 943 
125 146 148 276 162 
126 956 455 295 600 
127 148 175 914 189 
128 4 439 866 626 
129 829 319 226 534 
130 723 840 874 986 
131 209 796 490 342 
132 273 210 449 839 
133 698 937 270 928 
134 715 320 411 861 
135 453 479 349 809 
136 17 769 838 419 
137 53 780 599 110 
138 379 642 102 373 
139 469 844 225 637 
140 99 978 504 676 
141 704 258 421 230 
142 870 15 459 642 
143 220 685 476 771 
144 607 633 859 658 
145 837 442 291 318 
146 302 551 901 909 
147 111 631 250 923 
148 300 996 846 543 
149 975 147 497 46 
150 907 405 414 852 
151 512 976 545 203 
152 282 584 545 982 
153 703 370 571 938 
154 968 96 181 599 
155 643 452 556 176 
156 980 970 766 504 
157 420 76 143 929 
158 844 26 676 567 
159 841 382 77 398 
160 142 363 359 193 
161 573 147 358 439 
162 289 47 337 131 
163 811 136 668 868 
164 807 980 325 762 
165 235 969 459 539 
166 276 179 476 353 
167 175 463 228 59 
168 466 671 273 55 
169 773 682 241 865 
170 287 983 407 811 
171 723 129 704 929 
172 664 572 47 914 
173 348 3 617 389 
174 213 561 765 19 
175 89 733 742 281 
176 173 980 601 420 
177 621 513 495 898 
178 564 332 121 160 
179 421 269 944 294 
180 947 272 188 210 
181 205 611 949 339 
182 746 957 800 946 
183 928 471 812 871 
184 618 767 93 479 
185 267 98 681 470 
186 813 908 159 301 
187 793 644 633 272 
188 247 708 373 489 
189 435 762 240 532 
190 128 719 630 997 
191 258 253 978 572 
192 430 178 719 249 
193 315 354 977 20 
194 235 310 210 96 
195 468 768 711 726 
196 489 270 907 314 
197 263 772 614 132 
198 803 938 938 836 
199 751 893 752 426 
200 915 348 160 692 
201 31 559 654 212 
202 953 734 735 491 
203 882 757 948 92 
204 103 288 946 869 
205 138 672 58 430 
206 45 873 533 784 
207 726 683 844 571 
208 596 131 714 433 
209 48 131 638 724 
210 628 156 861 947 
211 214 950 145 823 
212 84 37 967 647 
213 534 68 109 476 
214 124 447 543 488 
215 970 688 537 976 
216 289 355 163 148 
