4 
10 10 10 10  
1 1 4 8 5 
2 1 6 10 4 
3 9 2 10 2 
4 3 3 3 6 
5 2 1 2 7 
6 6 5 8 2 
7 10 2 4 5 
8 10 2 4 4 
9 5 3 8 9 
10 2 8 10 5 
11 10 2 8 10 
12 4 4 8 5 
13 6 1 10 3 
14 9 8 8 1 
15 8 6 4 6 
16 2 5 9 9 
17 4 4 1 1 
18 2 8 5 8 
19 6 9 9 6 
20 10 2 9 2 
21 4 6 5 10 
22 7 9 10 9 
23 1 5 3 4 
24 3 1 5 3 
25 2 6 6 6 
26 1 5 8 1 
27 2 5 6 2 
28 2 2 5 8 
29 10 9 7 2 
30 9 5 1 3 
31 2 7 4 6 
32 8 4 5 3 
33 7 8 3 4 
34 8 1 1 9 
35 3 3 4 5 
36 9 3 7 2 
37 2 1 2 1 
38 9 4 10 9 
39 4 8 2 8 
40 8 5 2 9 
41 6 10 4 4 
42 5 8 4 7 
43 7 7 7 6 
44 3 4 9 3 
45 1 3 9 2 
46 5 2 7 4 
47 7 5 9 2 
48 6 10 6 6 
49 7 2 10 3 
50 7 5 8 7 
51 6 7 6 4 
52 7 8 4 5 
53 4 10 8 4 
54 1 8 10 2 
55 10 4 3 8 
56 5 8 1 10 
57 1 5 2 2 
58 1 3 2 2 
59 10 7 8 2 
60 6 8 7 5 
61 7 2 5 1 
62 5 2 9 1 
63 7 10 6 3 
64 9 5 10 1 
65 1 5 4 1 
66 1 10 5 2 
67 9 4 7 8 
68 7 3 6 6 
69 10 1 1 3 
70 6 1 8 4 
71 1 8 6 3 
72 3 10 1 5 
73 4 7 1 8 
74 5 9 6 3 
75 3 2 4 10 
76 3 5 4 5 
77 2 10 3 8 
78 9 3 3 3 
79 4 2 6 8 
80 2 9 6 6 
81 6 5 1 8 
82 4 6 5 3 
83 1 3 10 1 
84 4 4 7 6 
85 7 5 2 6 
86 4 4 8 10 
87 1 6 4 3 
88 10 1 1 10 
89 2 4 8 7 
90 10 8 4 9 
91 10 3 5 5 
92 3 10 2 1 
93 1 10 4 1 
94 5 10 7 1 
95 7 9 4 5 
96 1 8 4 4 
97 8 9 4 2 
98 4 6 9 8 
99 2 4 3 8 
100 5 7 6 3 
101 6 4 4 4 
102 6 1 10 3 
103 7 1 3 4 
104 1 8 1 5 
105 7 7 9 8 
106 3 9 4 6 
107 2 5 2 5 
108 8 4 1 10 
109 1 7 3 4 
110 4 10 3 1 
111 2 2 4 10 
112 4 9 9 6 
113 10 2 7 2 
114 5 6 3 6 
115 9 9 3 3 
116 4 6 3 4 
117 2 9 7 2 
118 7 10 9 4 
119 5 10 2 4 
120 3 2 1 1 
121 3 2 4 4 
122 9 9 3 6 
123 5 3 5 8 
124 5 8 10 7 
125 7 8 3 1 
126 7 3 9 9 
127 10 5 5 9 
128 9 4 9 3 
129 8 6 5 3 
130 10 3 1 6 
131 2 5 8 1 
132 2 5 9 4 
133 10 2 10 3 
134 8 7 1 9 
135 10 8 10 9 
136 2 9 8 9 
137 1 10 4 3 
138 10 9 1 5 
139 2 10 9 4 
140 9 4 7 5 
141 5 5 4 7 
142 7 7 10 10 
143 5 1 2 7 
144 8 5 7 2 
145 8 7 4 9 
146 4 3 10 9 
147 2 3 2 2 
148 6 4 5 4 
149 9 3 1 5 
150 5 8 8 10 
151 4 6 1 2 
152 7 6 8 2 
153 5 5 2 10 
154 6 5 10 9 
155 3 4 2 2 
156 5 1 4 2 
157 4 5 2 3 
158 5 9 2 2 
159 9 5 7 9 
160 2 8 9 3 
161 6 7 5 4 
162 9 5 7 1 
163 1 7 9 10 
164 3 3 4 2 
165 8 8 6 1 
166 8 6 10 9 
167 7 7 7 4 
168 8 5 4 9 
169 4 5 7 6 
170 8 6 3 4 
171 2 5 3 2 
172 4 3 6 8 
173 3 3 1 5 
174 7 10 7 6 
175 9 3 8 7 
176 1 5 3 10 
177 10 9 3 2 
178 4 7 7 1 
179 4 9 1 1 
180 3 6 8 7 
181 9 9 9 9 
182 7 4 6 9 
183 9 5 2 2 
184 4 3 3 6 
185 9 9 4 9 
186 9 5 5 1 
187 8 2 1 1 
188 3 2 8 1 
189 6 1 6 1 
190 9 10 9 10 
191 2 9 3 10 
192 4 9 7 3 
193 6 5 6 1 
194 3 3 2 5 
195 8 2 1 6 
196 5 8 1 4 
197 10 6 4 8 
198 1 2 3 8 
199 5 6 1 3 
200 5 8 5 2 
201 10 6 6 3 
202 10 2 6 8 
203 7 5 6 5 
204 10 6 8 8 
205 6 5 6 9 
206 8 10 9 9 
207 6 7 4 2 
208 5 8 9 1 
209 4 10 2 5 
210 4 7 4 8 
211 9 6 6 4 
212 8 4 7 3 
213 7 8 10 5 
214 6 7 1 7 
215 10 6 8 2 
216 7 2 7 5 
217 1 1 1 10 
218 2 5 3 9 
219 8 4 7 4 
220 10 2 6 7 
221 5 5 7 3 
222 6 4 4 2 
223 3 5 10 2 
224 5 6 7 8 
225 2 4 6 8 
226 5 3 5 4 
227 8 4 2 3 
228 3 8 8 9 
229 7 2 5 1 
230 10 9 1 1 
231 5 5 9 8 
232 3 6 5 8 
233 7 10 7 1 
234 1 3 6 8 
235 1 7 6 7 
236 4 4 2 1 
237 2 4 6 8 
238 4 7 6 10 
239 10 4 10 7 
240 10 10 7 8 
241 8 2 10 9 
242 7 3 7 7 
243 7 10 3 1 
244 7 1 3 2 
245 7 6 8 8 
246 4 9 2 3 
247 10 4 4 2 
248 10 5 2 3 
249 4 2 6 1 
250 3 4 8 7 
251 2 10 7 10 
252 3 4 2 10 
253 8 3 6 4 
254 9 9 9 8 
255 8 1 9 7 
256 4 1 8 3 
257 6 7 7 6 
258 7 1 3 1 
259 5 1 8 4 
260 5 2 1 10 
261 8 6 1 4 
262 1 2 1 5 
263 6 2 6 4 
264 4 6 10 3 
265 6 2 10 9 
266 6 8 4 8 
267 6 8 10 8 
268 3 8 7 1 
269 5 9 8 8 
270 9 9 8 2 
271 6 5 9 5 
272 9 4 9 1 
273 7 9 2 6 
274 5 2 4 10 
275 6 10 8 2 
276 9 3 10 6 
277 8 6 8 9 
278 6 10 3 6 
279 4 3 10 2 
280 2 5 7 7 
281 3 6 3 10 
282 9 5 1 3 
283 9 1 10 4 
284 1 7 7 9 
285 7 7 8 7 
286 3 8 1 1 
287 4 7 2 2 
288 7 3 1 9 
289 6 9 6 1 
290 3 9 1 10 
291 9 2 5 5 
292 8 9 1 9 
293 10 5 8 3 
294 2 7 9 8 
295 10 2 2 7 
296 3 8 10 9 
297 2 5 8 10 
298 9 5 4 4 
299 1 2 10 10 
300 2 8 10 3 
301 6 3 1 2 
302 4 9 6 9 
303 3 7 4 2 
304 7 1 4 8 
305 1 7 2 3 
306 8 2 2 9 
307 7 9 10 9 
308 2 7 2 4 
309 9 5 4 9 
310 4 4 3 5 
311 8 1 5 3 
312 10 8 4 3 
313 9 1 2 4 
314 1 2 6 4 
315 10 8 6 8 
316 9 2 5 1 
317 7 8 4 4 
318 3 10 4 3 
319 5 4 10 6 
320 4 5 8 3 
321 7 3 7 2 
322 2 7 9 6 
323 4 9 5 8 
324 1 1 2 2 
325 4 10 10 3 
326 2 6 10 4 
327 6 5 6 7 
328 1 4 2 4 
329 9 4 5 9 
330 8 6 10 5 
331 6 10 9 4 
332 5 3 8 9 
333 4 10 2 7 
334 7 10 2 3 
335 3 2 7 7 
336 7 2 8 4 
337 8 7 4 5 
338 8 1 1 5 
339 5 9 5 1 
340 3 10 6 5 
341 2 9 3 3 
342 6 2 5 9 
343 8 4 7 10 
344 6 3 7 2 
345 2 5 9 7 
346 8 10 4 9 
347 3 3 3 2 
348 9 7 1 6 
349 5 7 10 1 
350 3 2 9 1 
351 4 1 6 1 
352 1 4 2 9 
353 4 9 10 9 
354 1 1 2 8 
355 2 8 2 1 
356 2 4 4 9 
357 9 10 4 6 
358 5 6 5 9 
359 8 9 8 5 
360 5 7 8 10 
361 8 2 7 1 
362 8 10 2 8 
363 4 5 1 3 
364 1 8 7 6 
365 6 8 2 10 
366 1 8 6 3 
367 1 7 4 5 
368 3 7 9 8 
369 7 2 1 3 
370 6 4 5 5 
371 5 2 9 10 
372 2 9 6 6 
373 1 3 4 3 
374 8 6 7 6 
375 1 10 10 2 
376 10 8 9 2 
377 1 10 5 2 
378 2 3 8 5 
379 1 10 5 1 
380 7 10 1 6 
381 10 6 7 3 
382 9 8 1 4 
383 10 3 2 7 
384 2 4 3 6 
385 9 4 3 9 
386 8 9 5 6 
387 1 4 8 4 
388 4 3 10 3 
389 5 4 6 8 
390 6 3 1 10 
391 8 7 3 6 
392 2 4 3 1 
393 1 3 6 6 
394 1 4 9 3 
395 1 10 7 8 
396 3 1 4 8 
397 8 9 1 8 
398 4 3 7 8 
399 7 8 6 4 
400 10 6 5 8 
401 1 1 5 9 
402 8 6 8 10 
403 8 1 5 2 
404 6 4 8 1 
405 4 6 1 5 
406 8 2 10 7 
407 7 3 2 7 
408 1 9 1 5 
409 7 5 2 10 
410 8 3 10 1 
411 1 2 10 10 
412 5 2 6 6 
413 9 3 7 4 
414 8 10 3 1 
415 7 8 2 8 
416 8 9 3 8 
417 3 9 5 10 
418 10 2 2 1 
419 8 3 7 4 
420 10 6 5 4 
421 8 4 10 5 
422 8 3 3 4 
423 10 7 9 7 
424 5 5 8 9 
425 2 1 6 5 
426 1 1 2 3 
427 6 9 10 3 
428 7 4 3 10 
429 8 6 8 4 
430 5 1 3 5 
431 1 8 8 1 
432 2 1 10 10 
433 6 5 8 8 
434 5 10 3 9 
435 6 5 4 3 
436 3 4 2 2 
437 1 10 9 5 
438 6 9 1 10 
439 8 5 3 9 
440 5 4 7 2 
441 10 9 7 3 
442 6 2 7 9 
443 9 5 4 2 
444 2 10 5 9 
445 1 4 3 4 
446 3 2 7 9 
447 9 6 1 4 
448 1 3 1 7 
449 5 1 2 6 
450 10 6 4 5 
451 5 5 2 6 
452 8 8 4 5 
453 9 6 4 10 
454 3 8 7 1 
455 3 2 4 6 
456 2 5 4 4 
457 3 10 3 1 
458 1 3 5 10 
459 8 6 7 3 
460 1 9 9 2 
461 6 7 3 2 
462 5 1 9 7 
463 2 5 2 1 
464 8 4 3 5 
465 9 5 3 3 
466 9 2 8 2 
467 3 4 6 3 
468 8 6 1 10 
