4 
100 100 100 100  
1 6 1 17 24 
2 48 33 35 42 
3 32 18 46 15 
4 45 37 11 24 
5 45 47 18 5 
6 10 27 6 20 
7 5 37 14 46 
8 8 20 16 39 
9 36 30 32 50 
10 21 15 33 24 
11 5 6 30 45 
12 42 49 13 26 
13 35 24 42 23 
14 46 37 23 25 
15 33 16 8 2 
16 46 50 32 43 
17 37 43 8 10 
18 13 12 4 9 
19 29 16 10 22 
20 33 8 45 23 
21 6 34 40 9 
22 48 17 47 45 
23 28 48 37 36 
24 38 4 43 24 
25 23 31 30 7 
26 32 42 40 41 
27 34 40 22 21 
28 39 28 16 9 
29 32 49 36 33 
30 36 41 47 5 
31 6 17 33 25 
32 46 6 28 42 
33 32 15 43 23 
34 21 23 7 24 
35 14 14 36 24 
36 8 45 49 25 
37 36 20 7 39 
38 13 26 11 4 
39 28 31 14 49 
40 19 37 11 43 
41 42 1 30 22 
42 45 43 47 14 
43 47 42 27 11 
44 25 2 39 12 
45 16 4 21 8 
46 4 7 41 42 
47 33 9 22 6 
48 20 31 13 14 
49 39 35 5 36 
50 12 15 14 36 
51 43 42 19 47 
52 37 37 45 31 
53 36 4 21 15 
54 7 9 34 31 
55 40 50 8 45 
56 30 41 41 35 
57 20 22 1 44 
58 45 1 32 50 
59 25 4 13 39 
60 42 3 13 32 
61 33 25 19 3 
62 9 1 33 19 
63 29 36 43 30 
64 22 37 15 32 
65 13 16 45 23 
66 38 21 3 43 
67 38 14 50 37 
68 2 42 21 29 
69 49 27 28 27 
70 35 28 12 21 
71 28 13 10 6 
72 32 34 14 38 
73 32 15 49 48 
74 24 47 14 1 
75 4 27 43 47 
76 2 16 47 21 
77 45 38 40 18 
78 25 45 17 16 
79 26 14 41 18 
80 37 11 14 13 
81 28 45 12 18 
82 14 40 24 5 
83 21 22 1 14 
84 36 18 36 50 
85 36 29 43 50 
86 3 2 32 19 
87 44 39 17 46 
88 36 13 37 36 
89 32 29 16 3 
90 38 6 23 48 
91 23 10 49 20 
92 21 50 35 48 
93 43 30 11 47 
94 21 25 14 18 
95 20 39 13 25 
96 15 29 45 47 
97 27 19 4 7 
98 20 23 22 34 
99 35 8 11 26 
100 15 14 39 48 
101 40 17 41 3 
102 41 32 9 13 
103 19 47 11 27 
104 48 7 42 19 
105 36 42 10 44 
106 30 43 41 23 
107 31 21 49 32 
108 24 35 8 27 
109 26 9 48 37 
110 26 17 31 35 
111 14 40 43 19 
112 45 40 33 22 
113 30 41 32 12 
114 8 8 8 3 
115 37 32 28 10 
116 39 13 1 21 
117 47 45 9 18 
118 18 5 2 29 
119 50 36 19 30 
120 26 14 21 29 
121 44 35 25 40 
