3
1000 1000 1000  
1 626 986 53 
2 753 407 726 
3 56 863 529 
4 342 747 979 
5 537 390 430 
6 478 228 177 
7 390 489 899 
8 828 309 583 
9 966 718 92 
10 476 223 334 
11 515 325 874 
12 551 383 131 
13 232 106 341 
14 24 420 283 
15 870 821 806 
16 220 911 165 
17 869 383 436 
18 205 507 493 
19 751 634 693 
20 53 766 713 
21 979 592 783 
22 170 3 229 
23 106 353 662 
24 181 18 712 
25 424 812 424 
26 198 536 476 
27 124 29 495 
28 647 995 740 
29 167 454 425 
30 915 219 102 
31 342 695 334 
32 813 660 746 
33 192 818 452 
34 49 347 232 
35 49 579 965 
36 796 245 921 
37 763 949 284 
38 302 551 74 
39 603 410 659 
40 521 212 668 
41 625 632 942 
42 909 149 267 
43 702 464 623 
44 937 531 821 
45 464 721 206 
46 247 815 25 
47 507 110 330 
48 112 689 938 
49 816 551 606 
50 531 945 370 
51 428 650 387 
52 948 444 406 
53 295 526 623 
54 163 970 9 
55 530 532 494 
56 476 388 132 
57 514 801 152 
58 812 877 846 
59 247 757 680 
60 304 905 132 
61 557 131 583 
62 468 466 322 
63 136 10 692 
64 864 240 25 
65 942 635 278 
66 983 49 630 
67 30 891 358 
68 244 287 422 
69 972 885 825 
70 145 442 963 
71 735 771 29 
72 248 148 494 
73 930 492 859 
74 178 572 98 
75 959 873 158 
76 428 435 383 
77 136 761 248 
78 525 867 503 
79 431 669 372 
80 252 744 315 
81 834 118 608 
82 627 355 537 
83 781 486 569 
84 1000 22 742 
85 671 595 552 
86 169 588 786 
87 705 365 192 
88 452 72 736 
89 48 161 676 
90 506 850 673 
91 88 646 150 
92 255 845 145 
93 196 769 565 
94 475 137 598 
95 317 808 218 
96 57 589 843 
97 536 899 904 
98 981 694 290 
99 800 884 805 
100 372 783 422 
101 380 197 502 
102 351 942 719 
103 881 896 940 
104 159 98 501 
105 52 401 394 
106 409 371 227 
107 114 588 785 
108 715 628 67 
109 359 844 820 
110 3 874 879 
111 558 576 414 
112 247 717 349 
113 595 458 672 
114 346 971 217 
115 157 54 768 
116 977 632 816 
117 451 50 8 
118 173 41 597 
119 934 264 480 
120 67 384 671 
121 640 428 485 
122 709 454 478 
123 832 391 867 
124 393 203 421 
125 744 465 698 
126 409 811 440 
127 160 940 728 
128 564 779 408 
129 447 194 81 
130 741 187 868 
131 311 675 864 
132 821 793 996 
133 270 624 517 
134 782 922 711 
135 600 43 701 
136 57 564 874 
137 524 993 529 
138 212 763 987 
139 561 787 58 
140 631 549 415 
141 511 479 891 
142 616 453 746 
143 922 455 210 
144 48 247 877 
145 121 452 462 
146 751 219 380 
147 362 707 824 
148 674 201 240 
149 114 438 963 
150 384 726 484 
151 748 539 620 
152 212 334 954 
153 760 657 54 
154 852 956 873 
155 457 410 724 
156 841 256 845 
157 67 463 790 
158 850 87 497 
159 33 647 180 
160 784 930 744 
161 464 389 466 
162 424 623 378 
163 195 294 636 
164 558 88 761 
165 68 99 118 
166 321 219 415 
167 319 276 588 
168 695 135 642 
169 31 162 457 
170 396 334 249 
171 179 728 691 
172 242 641 546 
173 27 869 231 
174 828 581 894 
175 14 4 14 
176 117 137 416 
177 233 320 71 
178 879 164 660 
179 380 237 962 
180 305 457 452 
181 212 386 933 
182 707 416 355 
183 667 800 720 
184 717 149 731 
185 293 559 533 
186 296 830 125 
187 834 764 1000 
188 668 508 93 
189 748 409 58 
190 466 70 361 
191 881 229 86 
192 824 711 961 
193 748 939 866 
194 899 236 224 
195 675 937 893 
196 740 597 281 
197 80 633 749 
198 360 288 614 
199 29 23 90 
200 922 318 173 
201 474 776 124 
202 546 272 202 
203 158 932 350 
204 818 723 717 
205 151 382 138 
206 876 293 555 
207 920 136 23 
208 953 293 439 
209 623 320 486 
210 361 968 108 
211 541 161 793 
212 592 199 664 
213 254 516 236 
214 369 381 795 
215 9 450 587 
216 839 860 740 
217 645 342 789 
218 52 132 296 
219 252 83 431 
220 764 174 545 
221 233 667 890 
222 2 68 333 
223 913 698 544 
224 215 831 780 
225 547 653 958 
226 891 867 737 
227 231 10 502 
228 1000 381 920 
229 296 692 728 
230 421 521 747 
231 855 968 681 
232 907 583 890 
233 762 545 795 
234 115 342 967 
235 653 80 427 
236 927 406 855 
237 450 85 800 
238 326 783 40 
239 257 273 643 
240 465 151 385 
241 419 942 31 
242 865 149 159 
243 989 231 1000 
244 919 470 744 
245 806 476 830 
246 599 816 876 
247 763 874 391 
248 69 776 628 
249 307 87 937 
250 580 142 461 
251 557 586 421 
252 868 358 507 
253 812 474 39 
254 84 337 820 
255 530 635 358 
256 884 437 575 
257 995 444 709 
258 862 483 665 
259 205 383 416 
260 985 757 967 
261 599 325 565 
262 463 1000 106 
263 837 1 267 
264 834 912 842 
265 155 366 309 
266 390 281 966 
267 982 230 452 
268 187 318 912 
269 346 86 558 
270 957 747 787 
271 258 471 659 
272 602 321 27 
273 70 423 200 
274 28 851 276 
275 274 819 13 
276 159 422 187 
277 474 539 112 
278 374 276 805 
279 35 304 108 
280 308 417 802 
281 826 44 909 
282 256 263 117 
283 848 771 20 
284 902 964 41 
285 11 929 724 
286 250 73 849 
287 402 315 36 
288 975 108 519 
289 633 711 221 
290 969 948 185 
291 942 831 568 
292 29 539 123 
293 176 638 235 
294 336 74 515 
295 174 930 520 
296 497 508 919 
297 343 513 895 
298 677 435 55 
299 409 326 410 
300 369 418 940 
301 139 394 333 
302 170 409 944 
303 861 393 521 
304 665 618 390 
305 465 618 15 
306 228 612 325 
307 241 743 982 
308 54 753 827 
309 716 184 268 
310 491 110 351 
311 169 764 564 
312 271 270 563 
313 681 19 726 
314 647 557 106 
315 437 918 282 
316 572 575 433 
317 661 223 418 
318 960 787 587 
319 699 458 961 
320 664 215 638 
321 143 800 19 
322 289 820 8 
323 976 554 449 
324 686 979 213 
325 708 427 629 
326 755 970 532 
327 356 930 815 
328 90 861 507 
329 786 765 991 
330 415 151 178 
331 784 52 139 
332 987 512 446 
333 822 88 287 
334 770 911 316 
335 830 100 647 
336 97 122 533 
337 952 811 328 
338 138 323 590 
339 201 650 433 
340 557 891 343 
341 115 310 539 
342 200 107 841 
343 835 537 42 
344 63 816 665 
345 228 178 483 
346 98 329 393 
347 56 198 215 
348 296 713 990 
349 506 555 558 
350 157 136 426 
351 910 770 707 
352 1 121 176 
353 371 72 746 
354 525 623 196 
355 35 6 631 
356 173 485 49 
357 278 353 961 
358 45 278 925 
359 65 898 140 
360 208 891 177 
361 296 150 145 
362 843 718 474 
363 321 830 699 
364 557 706 708 
365 723 647 420 
366 932 366 308 
367 339 715 124 
368 441 532 102 
369 568 578 568 
370 348 731 52 
371 453 832 243 
372 974 328 894 
373 148 621 636 
374 703 623 690 
375 930 178 373 
376 696 381 711 
377 969 910 443 
378 898 206 769 
379 651 379 107 
380 959 637 610 
381 752 878 701 
382 185 665 529 
383 279 556 668 
384 154 86 487 
385 29 568 198 
386 26 48 782 
